specification_id,baseline_type,baseline_label,model_family,model_label,generic_ballot_coefficient,approval_coefficient,midterm_coefficient,complexity_score,cycle,scored_races,mean_margin_error_dem_bias,mean_absolute_error,median_absolute_error,rmse,winner_accuracy,brier_score,log_loss,actual_dem_wins,predicted_dem_wins,expected_dem_wins,predicted_win_count_error,expected_win_count_error
raw_presidential_margin__generic_only__gb_0.65,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.65,0.0,0.0,1,2018,393,-0.42738919444732804,5.360204513034097,4.045113929999999,7.321056014838589,0.9516539440203562,0.04870156660565183,0.17447594897132657,200,189,195.46019839047403,-11,-4.539801609525966
raw_presidential_margin__generic_only__gb_0.65,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.65,0.0,0.0,1,2020,407,4.394467636319438,6.12897747999413,5.0129567100000045,7.9465938131127745,0.9508599508599509,0.046592117930169555,0.16934535056401814,203,207,213.7531710623456,4,10.753171062345587
raw_presidential_margin__generic_only__gb_0.65,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.65,0.0,0.0,1,2022,400,4.258905402626249,5.8694258471657506,4.94685329,7.464520268750078,0.95,0.041085667516162855,0.14601909494033927,204,210,212.11681574783427,6,8.116815747834266
raw_presidential_margin__generic_only__gb_0.70,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.7,0.0,0.0,1,2016,345,4.78733616458232,9.426600438084348,7.544799159999997,11.913778656888642,0.9304347826086956,0.05475555386401911,0.18630280802248542,149,167,174.12703793515084,18,25.127037935150838
raw_presidential_margin__generic_only__gb_0.70,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.7,0.0,0.0,1,2018,393,-0.06238919444732844,5.383532485319083,4.1231194900000006,7.308836573659156,0.9516539440203562,0.04847853494797512,0.17394651996998917,200,189,197.13100412823988,-11,-2.86899587176012
raw_presidential_margin__generic_only__gb_0.70,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.7,0.0,0.0,1,2020,407,4.734467636319438,6.312069571119437,5.307436313,8.139544902714121,0.9508599508599509,0.04690724283456405,0.1708249528870161,203,209,215.27345489248356,6,12.273454892483556
raw_presidential_margin__generic_only__gb_0.70,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.7,0.0,0.0,1,2022,400,4.198905402626249,5.83462584716575,4.8868532899999995,7.430450470480614,0.95,0.04101600265076053,0.1458346464348428,204,210,211.86872719230098,6,7.86872719230098
raw_presidential_margin__generic_only__gb_0.75,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.75,0.0,0.0,1,2016,345,4.817336164582319,9.435730872866957,7.514799159999999,11.925865253943224,0.9304347826086956,0.054885625990405605,0.1866398011384752,149,167,174.25344402831757,18,25.253444028317574
raw_presidential_margin__generic_only__gb_0.75,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.75,0.0,0.0,1,2018,393,0.30261080555267206,5.426770188967939,4.12707193,7.314832393740213,0.9516539440203562,0.04836086427064254,0.17365657505796905,200,189,198.81229935355918,-11,-1.1877006464408169
raw_presidential_margin__generic_only__gb_0.75,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.75,0.0,0.0,1,2020,407,5.074467636319437,6.510801262573984,5.534272070000007,8.341896020449825,0.9508599508599509,0.04730912761543178,0.17250048213439503,203,209,216.80213141602144,6,13.802131416021439
raw_presidential_margin__generic_only__gb_0.75,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.75,0.0,0.0,1,2022,400,4.138905402626251,5.8000300530157505,4.8268532900000025,7.396710454381085,0.95,0.040948635914647084,0.1456559226518403,204,210,211.6206729879027,6,7.620672987902708
raw_presidential_margin__generic_only__gb_0.80,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.8,0.0,0.0,1,2016,345,4.847336164582319,9.444930893075654,7.501824650000003,11.9380150035542,0.9304347826086956,0.055016380060529,0.18697848575221518,149,167,174.37991684344243,18,25.37991684344243
raw_presidential_margin__generic_only__gb_0.80,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.8,0.0,0.0,1,2018,393,0.6676108055526722,5.489062537807633,4.26110834,7.33899883066925,0.9491094147582697,0.048350180664907295,0.17360760376788595,200,190,200.50395014325943,-10,0.5039501432594307
raw_presidential_margin__generic_only__gb_0.80,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.8,0.0,0.0,1,2020,407,5.414467636319438,6.71923923033811,5.82918527,8.552980019191782,0.9508599508599509,0.047798899380340876,0.17437301331525862,203,209,218.3391411213546,6,15.3391411213546
raw_presidential_margin__generic_only__gb_0.80,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.8,0.0,0.0,1,2022,400,4.07890540262625,5.76553005301575,4.76685329,7.363304753820481,0.95,0.04088356876294274,0.14548292280855887,204,210,211.37265227308455,6,7.3726522730845545
raw_presidential_margin__generic_only__gb_0.85,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.85,0.0,0.0,1,2016,345,4.877336164582319,9.454235240901738,7.510914817,11.950227713100707,0.9304347826086956,0.05514781606954461,0.18731886275608975,149,167,174.5064563479429,18,25.5064563479429
raw_presidential_margin__generic_only__gb_0.85,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.85,0.0,0.0,1,2018,393,1.0326108055526715,5.565381776048345,4.343588459999996,7.381157410909083,0.9491094147582697,0.04844798425724853,0.17380107462724306,200,192,202.20579629874305,-8,2.205796298743053
raw_presidential_margin__generic_only__gb_0.85,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.85,0.0,0.0,1,2020,407,5.754467636319437,6.933626650196587,6.038852030000001,8.772166505566974,0.9484029484029484,0.048377592512270876,0.17644361255900243,203,210,219.884405249155,7,16.88440524915501
raw_presidential_margin__generic_only__gb_0.85,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.85,0.0,0.0,1,2022,400,4.01890540262625,5.731307991865749,4.720395864999997,7.330237939475099,0.95,0.04082080263815376,0.14531564614207912,204,210,211.12466418880672,6,7.124664188806719
raw_presidential_margin__generic_only__gb_0.90,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.9,0.0,0.0,1,2016,345,4.907336164582318,9.463621405771304,7.540914817000001,11.962503189752347,0.9304347826086956,0.05527993400809808,0.18766093304204162,149,167,174.63306250833932,18,25.63306250833932
raw_presidential_margin__generic_only__gb_0.90,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.9,0.0,0.0,1,2018,393,1.3976108055526724,5.663917285860051,4.56224566,7.441002325807426,0.9491094147582697,0.048655639055547505,0.17423843136134914,200,194,203.91765077274545,-6,3.9176507727454464
raw_presidential_margin__generic_only__gb_0.90,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.9,0.0,0.0,1,2020,407,6.094467636319439,7.160704208963173,6.246760300000005,8.998863439017635,0.9484029484029484,0.04904614169722324,0.17871333460987152,203,210,221.43782531316936,7,18.437825313169355
raw_presidential_margin__generic_only__gb_0.90,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.9,0.0,0.0,1,2022,400,3.9589054026262507,5.6974079918657505,4.6789112400000015,7.2975146180740875,0.95,0.04076033896993749,0.14515409190927436,204,210,210.87670787877101,6,6.876707878771015
raw_presidential_margin__generic_only__gb_0.95,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.95,0.0,0.0,1,2016,345,4.937336164582319,9.473099666640868,7.570914817,11.974841240480394,0.9304347826086956,0.05541273386231725,0.1880046975015595,149,167,174.7597352902547,18,25.759735290254696
raw_presidential_margin__generic_only__gb_0.95,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.95,0.0,0.0,1,2018,393,1.762610805552672,5.774724727982189,4.684180999999999,7.518111232266053,0.9541984732824428,0.04897436303173211,0.17492108902519232,200,198,205.63929925026102,-2,5.639299250261018
raw_presidential_margin__generic_only__gb_0.95,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.95,0.0,0.0,1,2020,407,6.434467636319438,7.394962391960716,6.586760299999995,9.232517597426257,0.9508599508599509,0.049805375146192744,0.1811832202656788,203,213,222.9992827117928,10,19.9992827117928
raw_presidential_margin__generic_only__gb_0.95,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,0.95,0.0,0.0,1,2022,400,3.8989054026262493,5.66350799186575,4.618911239999999,7.265139431056353,0.95,0.04070217917485463,0.14499825938674504,204,210,210.6287824896467,6,6.62878248964671
raw_presidential_margin__generic_only__gb_1.00,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,1.0,0.0,0.0,1,2016,345,4.96733616458232,9.482737013597392,7.561061389999999,11.98724167206889,0.9304347826086956,0.05554621561380416,0.18835015702566615,149,167,174.88647465841436,18,25.886474658414357
raw_presidential_margin__generic_only__gb_1.00,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,1.0,0.0,0.0,1,2018,393,2.1276108055526715,5.897362130715521,4.817815710000001,7.6119594973159455,0.9516539440203562,0.049405218548242855,0.17585043008718182,200,199,207.37049989577517,-1,7.370499895775168
raw_presidential_margin__generic_only__gb_1.00,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,1.0,0.0,0.0,1,2020,407,6.774467636319437,7.637547303867349,6.835486315999999,9.472614168194687,0.9533169533169533,0.050656008078253205,0.18385429377284157,203,218,224.56863843789154,15,21.568638437891536
raw_presidential_margin__generic_only__gb_1.00,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,1.0,0.0,0.0,1,2022,400,3.8389054026262492,5.629774052315749,4.566602475000002,7.233117053136544,0.95,0.0406463246561092,0.14484814787074715,204,210,210.38088717129654,6,6.380887171296536
raw_presidential_margin__generic_only__gb_1.05,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,1.05,0.0,0.0,1,2016,345,4.997336164582319,9.492563100553912,7.54625753,11.999704291125676,0.9304347826086956,0.05568037923962736,0.1886973125049066,149,167,175.01328057664568,18,26.013280576645684
raw_presidential_margin__generic_only__gb_1.05,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,1.05,0.0,0.0,1,2018,393,2.4926108055526717,6.026048412771501,5.0031835099999995,7.721936821603236,0.9491094147582697,0.04994910323888504,0.17702780048928066,200,200,209.11098327712563,0,9.110983277125627
raw_presidential_margin__generic_only__gb_1.05,raw_presidential_margin,Raw presidential margin,generic_only,Generic ballot only,1.05,0.0,0.0,1,2020,407,7.1144676363194375,7.892828330574966,7.068872079999991,9.718675690246071,0.9533169533169533,0.05159863653286236,0.18672756019079417,203,218,226.1457328934318,15,23.145732893431813
