model_id,model_description,categorical_feature_count,numeric_feature_count,alpha,cv_rows,cv_mae,cv_rmse,cv_r2,cv_correlation,weighted_mae,weighted_rmse,weighted_r2,prediction_mean,prediction_sd,prediction_min,prediction_max,weighted_rmse_rank_within_model,weighted_mae_rank_within_model,selection_rank_within_model
C_continuous_full,"Continuous demographic and political characteristics, including presidential movement and DRA composite margins.",3,12,10.0,393,0.5618703951148225,0.8301514991654629,0.03944836820436404,0.23860580348170266,0.538177050855569,0.7927925994911394,0.02322027888347611,0.9345487139053625,0.31324510404786643,-0.03541075270076266,1.8725658792407813,5.0,5.0,10.0
C_continuous_full,"Continuous demographic and political characteristics, including presidential movement and DRA composite margins.",3,12,30.0,393,0.5606408223391018,0.8293466489304657,0.04131001740570106,0.23887053248499346,0.5369113802375746,0.7918057580938718,0.025650490098319878,0.9346321563091088,0.30773067627108436,0.011524155084069898,1.8519824072351239,4.0,4.0,8.0
C_continuous_full,"Continuous demographic and political characteristics, including presidential movement and DRA composite margins.",3,12,100.0,393,0.5585687403829528,0.8282208516293089,0.04391099988867575,0.23774892579076484,0.5344570447641266,0.7901099862155572,0.029819454983220806,0.9353089192317177,0.29560248477095286,0.11290102588179107,1.7868352015583295,3.0,3.0,6.0
C_continuous_full,"Continuous demographic and political characteristics, including presidential movement and DRA composite margins.",3,12,300.0,393,0.5556754732896864,0.8273251105136915,0.04597794884964235,0.23344305206088153,0.5310845521149604,0.7883416631616952,0.034157263248228764,0.9369336172773483,0.27505841581550056,0.18748690572289695,1.6622917755756652,2.0,2.0,4.0
C_continuous_full,"Continuous demographic and political characteristics, including presidential movement and DRA composite margins.",3,12,1000.0,393,0.5546321303795361,0.827224186054328,0.04621069480576423,0.22254793182465746,0.5297644267914239,0.7871119556100997,0.03716808414662831,0.9405834196885635,0.23665399954505306,0.20709386635992244,1.4850914844921528,1.0,1.0,2.0
D_hybrid_all_features,All legacy tiered characteristics and all continuous demographic and political characteristics.,7,12,0.01,393,0.5855793720070346,0.8628582590767823,-0.037731313886223194,0.15721192769946163,0.561634045324576,0.8219607011889065,-0.04997647242478709,0.9294746735098026,0.34398046352879075,-0.18761126907253256,1.8729651857122416,11.0,11.0,22.0
D_hybrid_all_features,All legacy tiered characteristics and all continuous demographic and political characteristics.,7,12,0.03,393,0.5855767490017181,0.8628515500704746,-0.03771517654549372,0.15721910355355487,0.5616311556399919,0.8219548600576311,-0.04996154950058673,0.9294741183145085,0.34396287054531294,-0.1875085081522916,1.8729526372573253,10.0,10.0,20.0
D_hybrid_all_features,All legacy tiered characteristics and all continuous demographic and political characteristics.,7,12,0.1,393,0.5855675853152514,0.8628281972759011,-0.037659006462922084,0.15724407994552053,0.5616210580302431,0.8219345198673468,-0.04990958520302802,0.9294721960610377,0.34390161392001567,-0.18714994222205772,1.8729084716187492,9.0,9.0,18.0
D_hybrid_all_features,All legacy tiered characteristics and all continuous demographic and political characteristics.,7,12,0.3,393,0.585541544522606,0.8627625544186012,-0.037501124948953635,0.15731427267846568,0.561592344884526,0.821877275321172,-0.0497633460480702,0.9294668801170813,0.3437292673331601,-0.1861347081253273,1.8727802100650663,8.0,8.0,16.0
D_hybrid_all_features,All legacy tiered characteristics and all continuous demographic and political characteristics.,7,12,1.0,393,0.5854519365554914,0.8625445281908549,-0.03697682339248809,0.1575471866676293,0.5614933607479458,0.8216863774739487,-0.04927574456388273,0.929450212792485,0.34315504263428026,-0.18268314596302515,1.8723083940472791,7.0,7.0,14.0
D_hybrid_all_features,All legacy tiered characteristics and all continuous demographic and political characteristics.,7,12,3.0,393,0.5852067604596172,0.862003934777233,-0.03567739559041949,0.15812171073556766,0.5612216439641897,0.8212075112785052,-0.04805309737445551,0.9294166704249633,0.34171724759305955,-0.17356499344749976,1.8707927710911862,6.0,6.0,12.0
D_hybrid_all_features,All legacy tiered characteristics and all continuous demographic and political characteristics.,7,12,10.0,393,0.5845185143615477,0.8606697835667437,-0.032473974107868786,0.15949495409605674,0.5604463396464311,0.819985944509613,-0.04493740589890671,0.9294019333243811,0.33804530946710076,-0.1473077501576675,1.8642686567979716,5.0,5.0,10.0
D_hybrid_all_features,All legacy tiered characteristics and all continuous demographic and political characteristics.,7,12,30.0,393,0.582940737054592,0.8584783736057741,-0.027222962981708454,0.16149148393994095,0.5587328463544697,0.8178549491076148,-0.03951325600264943,0.9296714598661471,0.33144326700388327,-0.09399446764755426,1.8424862387364382,4.0,4.0,8.0
D_hybrid_all_features,All legacy tiered characteristics and all continuous demographic and political characteristics.,7,12,100.0,393,0.5784760114363475,0.8543861490205993,-0.017453099943523176,0.1644969552424621,0.5540401190322728,0.8136962428633291,-0.0289685030565503,0.9309717662795403,0.31718542922638215,0.013399752322987402,1.772882383774602,3.0,3.0,6.0
D_hybrid_all_features,All legacy tiered characteristics and all continuous demographic and political characteristics.,7,12,300.0,393,0.5713761938972224,0.8485792366042344,-0.0036696765307582258,0.16801044171499452,0.5467433586460569,0.8078201715390584,-0.014160862364210436,0.9337785441159346,0.2928769360146233,0.10570423832657472,1.6890131459851467,2.0,2.0,4.0
D_hybrid_all_features,All legacy tiered characteristics and all continuous demographic and political characteristics.,7,12,1000.0,393,0.5646313753783349,0.8414753848210241,0.013064356952370515,0.16960214925505235,0.5399990224505118,0.8006573559487156,0.0037442160596138363,0.9389553541144691,0.2493692686027049,0.1257923882515427,1.5589975265126639,1.0,1.0,2.0
