specification_id,training_environment_mae,training_environment_max_error,training_raw_mae,complexity_score,training_simplicity_adjusted_score,held_out_cycle
lb21__hl30__q_largest_sample__sample_sqrt__quality_off__partisan_include__poll_level,3.866120438993642,4.4977449795228015,4.260007461047853,3,3.9561204389936417,2018
lb21__hl30__q_largest_sample__sample_sqrt__quality_on__partisan_downweight__poll_level,3.8899715697185977,4.572545007174842,4.286508717408915,5,4.039971569718598,2018
lb21__hl30__q_largest_sample__sample_sqrt__quality_on__partisan_exclude__poll_level,3.8899715697185977,4.572545007174842,4.286508717408915,5,4.039971569718598,2018
lb21__hl30__q_largest_sample__sample_sqrt__quality_on__partisan_include__poll_level,3.8899715697185977,4.572545007174842,4.286508717408915,4,4.009971569718598,2018
lb21__hl30__q_prefer_lv__sample_equal__quality_off__partisan_downweight__poll_level,3.794452488460692,4.682653412285207,4.180376404900132,3,3.884452488460692,2018
lb21__hl30__q_prefer_lv__sample_equal__quality_off__partisan_exclude__poll_level,3.794452488460692,4.682653412285207,4.180376404900132,3,3.884452488460692,2018
lb21__hl30__q_prefer_lv__sample_equal__quality_off__partisan_include__poll_level,3.794452488460692,4.682653412285207,4.180376404900132,2,3.854452488460692,2018
lb21__hl30__q_prefer_lv__sample_equal__quality_on__partisan_downweight__poll_level,3.8083011304912606,4.778657554232872,4.195763784934096,4,3.9283011304912607,2018
lb21__hl30__q_prefer_lv__sample_equal__quality_on__partisan_exclude__poll_level,3.8083011304912606,4.778657554232872,4.195763784934096,4,3.9283011304912607,2018
lb21__hl30__q_prefer_lv__sample_equal__quality_on__partisan_include__poll_level,3.8083011304912606,4.778657554232872,4.195763784934096,3,3.8983011304912605,2018
lb21__hl30__q_prefer_lv__sample_sqrt__quality_off__partisan_downweight__poll_level,3.753094579474625,4.482974283812261,4.13442317269339,4,3.873094579474625,2018
lb21__hl30__q_prefer_lv__sample_sqrt__quality_off__partisan_exclude__poll_level,3.753094579474625,4.482974283812261,4.13442317269339,4,3.873094579474625,2018
lb21__hl30__q_prefer_lv__sample_sqrt__quality_off__partisan_include__poll_level,3.753094579474625,4.482974283812261,4.13442317269339,3,3.843094579474625,2018
