district_component_sd,shrinkage_strength,multiplier_floor,multiplier_ceiling,scored_races,baseline_brier,adjusted_brier,brier_change,baseline_log_loss,adjusted_log_loss,log_loss_change,baseline_ece,adjusted_ece,ece_change,baseline_50_interval_coverage,adjusted_50_interval_coverage,baseline_80_interval_coverage,adjusted_80_interval_coverage,baseline_95_interval_coverage,adjusted_95_interval_coverage,mean_multiplier,multiplier_sd,minimum_multiplier,maximum_multiplier,mean_adjusted_total_sd,minimum_adjusted_total_sd,maximum_adjusted_total_sd,passes_primary_metrics
4.5,4.0,0.75,1.25,1545,0.045266681874496145,0.04528953261195816,2.2850737462012938e-05,0.1664436234182645,0.16367078176593775,-0.0027728416523267463,0.03434462481847309,0.036068220555649,0.001723595737175905,0.4110032362459547,0.4045307443365696,0.7003236245954693,0.6886731391585761,0.8634304207119741,0.8653721682847897,0.9576786561364642,0.1456716331450646,0.7571728888819778,1.25,6.38714548558985,5.797373833820971,7.323976037645126,False
5.5,1.0,0.8,1.2,1545,0.045266681874496145,0.04534282180678997,7.613993229382138e-05,0.1664436234182645,0.16368129515316573,-0.002762328265098757,0.03434462481847309,0.03568569188479896,0.0013410670663258697,0.4110032362459547,0.39158576051779936,0.7003236245954693,0.6744336569579288,0.8634304207119741,0.858252427184466,0.9345934657318455,0.16144932525119543,0.8,1.2,6.217169153410833,5.6000000000000005,7.45385806143369,False
6.0,2.0,0.8,1.2,1545,0.045266681874496145,0.04535048988677573,8.380801227958479e-05,0.1664436234182645,0.1637118378743604,-0.0027317855439041028,0.03434462481847309,0.035248423608193566,0.0009037987897204738,0.4110032362459547,0.3870550161812298,0.7003236245954693,0.6724919093851133,0.8634304207119741,0.8576051779935275,0.9401802100191257,0.15308567807470042,0.8,1.2,6.180754866707418,5.412023651093924,7.6216796049164905,False
4.5,1.0,0.75,1.25,1545,0.045266681874496145,0.045303212145436755,3.653027094061012e-05,0.1664436234182645,0.16372196555884658,-0.002721657859417914,0.03434462481847309,0.036566691516852955,0.0022220666983798626,0.4110032362459547,0.39546925566343044,0.7003236245954693,0.6796116504854369,0.8634304207119741,0.8614886731391586,0.9227138961612008,0.19285504284781332,0.75,1.25,6.296203897597958,5.77846216566311,7.323976037645126,False
4.5,2.0,0.75,1.25,1545,0.045266681874496145,0.04528645050574762,1.976863125147804e-05,0.1664436234182645,0.16373984556271537,-0.002703777855549122,0.03434462481847309,0.036567837856712554,0.002223213038239462,0.4110032362459547,0.4,0.7003236245954693,0.6841423948220064,0.8634304207119741,0.8627831715210356,0.9330925019847852,0.17854318504927308,0.75,1.25,6.32249491342757,5.77846216566311,7.323976037645126,False
4.0,2.0,0.7,1.3,1545,0.045266681874496145,0.04528411850926801,1.743663477186269e-05,0.1664436234182645,0.16375563735231152,-0.0026879860659529686,0.03434462481847309,0.03604039523036183,0.0016957704118887376,0.4110032362459547,0.40323624595469254,0.7003236245954693,0.6886731391585761,0.8634304207119741,0.8640776699029126,0.9308973136967198,0.19713615757861105,0.7,1.3,6.364480253570524,5.838664230798,7.300000000000001,False
4.0,1.0,0.7,1.3,1545,0.045266681874496145,0.04529192252011329,2.524064561714584e-05,0.1664436234182645,0.1637699186204301,-0.002673704797834381,0.03434462481847309,0.03616996625802951,0.0018253414395564202,0.4110032362459547,0.40194174757281553,0.7003236245954693,0.6854368932038835,0.8634304207119741,0.8621359223300971,0.9136940838884301,0.2198162136228715,0.7,1.3,6.332274772339364,5.838664230798,7.300000000000001,False
5.0,1.0,0.8,1.2,1545,0.045266681874496145,0.04531507893008649,4.839705559034346e-05,0.1664436234182645,0.16377439342695987,-0.002669229991304617,0.03434462481847309,0.035235337644974066,0.0008907128265009737,0.4110032362459547,0.39546925566343044,0.7003236245954693,0.6809061488673139,0.8634304207119741,0.858252427184466,0.9345934657318455,0.16144932525119543,0.8,1.2,6.273647334124025,5.766281297335398,7.297259759663212,False
6.0,1.0,0.8,1.2,1545,0.045266681874496145,0.045382113031543,0.00011543115704685386,0.1664436234182645,0.16378771945619539,-0.002655903962069106,0.03434462481847309,0.0352260823171891,0.0008814574987160081,0.4110032362459547,0.3851132686084142,0.7003236245954693,0.6679611650485436,0.8634304207119741,0.8530744336569579,0.9345934657318455,0.16144932525119543,0.8,1.2,6.151371605105893,5.412023651093924,7.6216796049164905,False
5.0,2.0,0.8,1.2,1545,0.045266681874496145,0.04529729263820489,3.061076370874244e-05,0.1664436234182645,0.16379657165558947,-0.002647051762675018,0.03434462481847309,0.03653689771901837,0.0021922729005452793,0.4110032362459547,0.39546925566343044,0.7003236245954693,0.6802588996763754,0.8634304207119741,0.8614886731391586,0.9401802100191257,0.15308567807470042,0.8,1.2,6.292292306989266,5.766281297335398,7.297259759663212,False
5.0,4.0,0.8,1.2,1545,0.045266681874496145,0.04528003060863253,1.334873413638693e-05,0.1664436234182645,0.16379753485053056,-0.002646088567733934,0.03434462481847309,0.035776682000961124,0.001432057182488032,0.4110032362459547,0.40194174757281553,0.7003236245954693,0.6886731391585761,0.8634304207119741,0.8627831715210356,0.9548542809817945,0.13343963283279828,0.8,1.2,6.342541941719687,5.766281297335398,7.297259759663212,False
6.0,2.0,0.75,1.25,1545,0.045266681874496145,0.04537492061973478,0.00010823874523863825,0.1664436234182645,0.16381020253968182,-0.0026334208785826763,0.03434462481847309,0.03364291182583653,-0.0007017129926365634,0.4110032362459547,0.37928802588996763,0.7003236245954693,0.6711974110032363,0.8634304207119741,0.8588996763754045,0.9330925019847852,0.17854318504927308,0.75,1.25,6.145995697537671,5.1478150704935,7.905694150420948,False
4.0,8.0,0.7,1.3,1545,0.045266681874496145,0.0452968179645984,3.01360901022521e-05,0.1664436234182645,0.1638231730076639,-0.0026204504106005777,0.03434462481847309,0.03688929892189715,0.0025446741034240578,0.4110032362459547,0.4071197411003236,0.7003236245954693,0.6983818770226538,0.8634304207119741,0.8679611650485437,0.9846529656454921,0.11169369299029247,0.8535048322601214,1.3,6.471608147259017,6.156746541726568,7.300000000000001,False
5.5,1.0,0.7,1.3,1545,0.045266681874496145,0.045396111856506126,0.00012942998200998063,0.1664436234182645,0.16382857797728598,-0.002615045440978514,0.03434462481847309,0.0336590723288428,-0.0006855524896302936,0.4110032362459547,0.3779935275080906,0.7003236245954693,0.6699029126213593,0.8634304207119741,0.8588996763754045,0.9136940838884301,0.2198162136228715,0.7,1.3,6.139592453996562,5.179044313384468,7.9449669602837245,False
4.5,16.0,0.7,1.3,1545,0.045266681874496145,0.04528448017951977,1.779830502362384e-05,0.1664436234182645,0.16385590193395522,-0.0025877214843092744,0.03434462481847309,0.035796865381798604,0.0014522405633255117,0.4110032362459547,0.4090614886731392,0.7003236245954693,0.7009708737864078,0.8634304207119741,0.8679611650485437,0.9950446044438102,0.07326722312308541,0.9180406906933334,1.3,6.488702871187799,6.250333900906097,7.498166442537802,False
6.0,2.0,0.7,1.3,1545,0.045266681874496145,0.04541139006958115,0.00014470819508500404,0.1664436234182645,0.16388942514539465,-0.0025541982728698454,0.03434462481847309,0.03425495304987892,-8.967176859417392e-05,0.4110032362459547,0.3773462783171521,0.7003236245954693,0.6705501618122978,0.8634304207119741,0.856957928802589,0.9308973136967198,0.19713615757861105,0.7,1.3,6.137329040873133,4.887739763939974,8.190848551890092,False
5.0,16.0,0.8,1.2,1545,0.045266681874496145,0.04529379943392466,2.7117559428517513e-05,0.1664436234182645,0.1638985323447145,-0.0025450910735499988,0.03434462481847309,0.03686620472300218,0.0025215799045290865,0.4110032362459547,0.4077669902912621,0.7003236245954693,0.6977346278317152,0.8634304207119741,0.8686084142394822,0.9933557462795356,0.06746987155693802,0.9180406906933334,1.2,6.4778986590879,6.190312410873728,7.297259759663212,False
4.5,1.0,0.8,1.2,1545,0.045266681874496145,0.04529595130262017,2.926942812402772e-05,0.1664436234182645,0.16400349296812253,-0.002440130450141964,0.03434462481847309,0.03632119671109832,0.001976571892625227,0.4110032362459547,0.39805825242718446,0.7003236245954693,0.6854368932038835,0.8634304207119741,0.86084142394822,0.9345934657318455,0.16144932525119543,0.8,1.2,6.32193790750707,5.912698199637793,7.152621896899066,False
4.5,16.0,0.75,1.25,1545,0.045266681874496145,0.04528936435547473,2.2682480978586383e-05,0.1664436234182645,0.16400650670181358,-0.0024371167164509155,0.03434462481847309,0.035786804279733755,0.0014421794612606634,0.4110032362459547,0.4090614886731392,0.7003236245954693,0.7003236245954693,0.8634304207119741,0.8679611650485437,0.9945688581834162,0.07145743258024662,0.9180406906933334,1.25,6.487048028207751,6.250333900906097,7.323976037645126,False
