model_id,model_description,alpha,categorical_feature_count,numeric_feature_count,cv_rows,cv_mae,cv_rmse,cv_r2,cv_correlation,weighted_mae,weighted_rmse,weighted_r2,prediction_mean,prediction_sd,prediction_min,prediction_max,weighted_rmse_rank_within_model,weighted_mae_rank_within_model,selection_rank_within_model
C_district_dna,Continuous demographics plus regime-aware behavior.,300.0,4,20,393,0.44575893752384727,0.7368682113829308,0.24319212263568357,0.5005261714259291,0.4157375047429613,0.6902731629709139,0.25950959169327426,0.946158684715168,0.4964638421692401,-0.30219056593454563,2.541943553260413,2.0,3.0,5.0
C_district_dna,Continuous demographics plus regime-aware behavior.,1000.0,4,20,393,0.4369865828810767,0.7345573991772463,0.2479313654978874,0.5012013762723005,0.40721813368175297,0.6887992136562681,0.2626685730924285,0.946239383235579,0.4729291555330139,-0.22266294985444857,2.463537039749881,1.0,2.0,3.0
C_district_dna,Continuous demographics plus regime-aware behavior.,3000.0,4,20,393,0.4326131882394874,0.7361443794811791,0.2446782299790361,0.495350124084533,0.40325156063559825,0.6912645567470977,0.25738102925208717,0.9469664388812974,0.44183395005904663,-0.2822590566960872,2.3493267305848797,3.0,1.0,4.0
D_full_structural_dna,District DNA plus recent presidential movement and DRA composite political structure.,0.01,4,24,393,0.4587880384015682,0.7444211760026179,0.2275979131956548,0.4937705464811857,0.42907392461311067,0.6987348681082395,0.24124373256064002,0.9460592357335783,0.5260579970482515,-0.6436791521438956,2.498211604791808,12.0,12.0,24.0
D_full_structural_dna,District DNA plus recent presidential movement and DRA composite political structure.,0.03,4,24,393,0.45878470965904367,0.7444182343355802,0.22760401765732918,0.49377378193677235,0.42907097326847965,0.6987320484239731,0.2412498563391725,0.9460584928721275,0.5260510415022208,-0.6435972227840825,2.498207875795872,11.0,11.0,22.0
D_full_structural_dna,District DNA plus recent presidential movement and DRA composite political structure.,0.1,4,24,393,0.45877308188222765,0.7444079863416971,0.22762528380706337,0.4937850448803959,0.4290606558680716,0.698722218993744,0.2412712036615312,0.946055910571819,0.5260267693791933,-0.6433107403239609,2.498194864750036,10.0,10.0,20.0
D_full_structural_dna,District DNA plus recent presidential movement and DRA composite political structure.,0.3,4,24,393,0.4587400523528298,0.7443791085289702,0.22768520809640325,0.49381671072860966,0.42903128184995787,0.6986944669499932,0.24133147326801885,0.9460486816236725,0.5259580285443152,-0.6424945232061193,2.4981580316742136,9.0,9.0,18.0
D_full_structural_dna,District DNA plus recent presidential movement and DRA composite political structure.,1.0,4,24,393,0.45862944919515536,0.7442824403858453,0.22788578704407247,0.4939219152370594,0.428933021932903,0.6986009815159046,0.2415344796321841,0.9460250168392261,0.5257241101742964,-0.6396641680733028,2.4980329014920457,8.0,8.0,16.0
D_full_structural_dna,District DNA plus recent presidential movement and DRA composite political structure.,3.0,4,24,393,0.4583319766393648,0.7440379056821949,0.22839306141563864,0.49418213085460877,0.42866432493339235,0.6983603231832082,0.24205695129387128,0.9459692194446258,0.5251041165453649,-0.6317926350416,2.4977034376196805,7.0,7.0,14.0
D_full_structural_dna,District DNA plus recent presidential movement and DRA composite political structure.,10.0,4,24,393,0.45743043657144,0.7434113868018638,0.22969198120558598,0.49480300923085685,0.427815628789366,0.6977151197985803,0.24345680607381714,0.9458585690972757,0.5232953405705856,-0.6064194652765748,2.4967624117418574,6.0,6.0,12.0
D_full_structural_dna,District DNA plus recent presidential movement and DRA composite political structure.,30.0,4,24,393,0.4555447484878778,0.742397471319525,0.23179174623746068,0.49563320922667453,0.42596595893289113,0.6965923953987144,0.24588962165741401,0.9457906138076062,0.519501070671245,-0.5476146479914034,2.4947062768083366,5.0,5.0,10.0
D_full_structural_dna,District DNA plus recent presidential movement and DRA composite political structure.,100.0,4,24,393,0.45166765441658424,0.740926426301442,0.23483310713704797,0.4963494287201789,0.4220178213630032,0.6949073704166915,0.249533525779559,0.9458729206096036,0.5113361516262127,-0.42449985372244403,2.4876485820308494,4.0,4.0,8.0
D_full_structural_dna,District DNA plus recent presidential movement and DRA composite political structure.,300.0,4,24,393,0.4458028977226047,0.7393097368497866,0.23816862765022073,0.49663743988224324,0.4160389849850892,0.6933539999217875,0.252884906374543,0.9460343380700863,0.49862942434766433,-0.2873039247286233,2.4647930190777334,2.0,3.0,5.0
D_full_structural_dna,District DNA plus recent presidential movement and DRA composite political structure.,1000.0,4,24,393,0.4372850243482571,0.7374718568944959,0.2419516544071696,0.496154484108213,0.40774837343073395,0.6922845112253112,0.25518795763145197,0.9464749364071106,0.4752304736765715,-0.23358685493627263,2.4347113169901835,1.0,2.0,3.0
D_full_structural_dna,District DNA plus recent presidential movement and DRA composite political structure.,3000.0,4,24,393,0.4337286755495045,0.7387134364961193,0.23939706301672525,0.4904491748366558,0.4046512042229397,0.6943457261367132,0.25074613306558746,0.9473611651334366,0.44404480191193585,-0.27084035087836345,2.4565460322890407,3.0,1.0,4.0
