shrinkage,incumbent_discount,one_sided_multiplier,observation_prior_strength,cap,cycles_tested,total_scored_rows,mean_absolute_error,rmse,winner_accuracy,brier_score,log_loss,expected_win_count_error,mean_absolute_adjustment,maximum_absolute_adjustment,mean_mae_change_vs_layer_2,mean_rmse_change_vs_layer_2,mean_brier_change_vs_layer_2,mean_log_loss_change_vs_layer_2,mean_absolute_error_rank,rmse_rank,brier_score_rank,log_loss_rank,expected_win_count_error_rank,combined_rank
0.7,0.75,0.75,0.0,3.0,1,400,4.7604839682418065,6.267044407250207,0.9575,0.028832933095412128,0.09419833091206742,2.7167214842034753,0.7222668770411446,3.0,-0.1294939072262089,-0.20798998344483088,-0.0032909280534358237,-0.009223541012730721,75.0,74.0,38.0,38.0,23.0,248.0
0.7,1.0,1.0,1.0,2.5,1,400,4.749075317711246,6.245111490320738,0.9575,0.028928250557049496,0.0943418164219996,2.752293529507881,0.7248452969290378,2.5,-0.1409025577567693,-0.22992290037429974,-0.0031956105917984555,-0.009080055502798542,34.0,34.0,45.0,41.0,104.0,258.0
0.5,1.0,1.0,0.5,2.5,1,400,4.752332424706762,6.25439308754799,0.9575,0.029124379478333715,0.09483991935719079,2.7324982748198465,0.6346855456955509,2.5,-0.13764545076125323,-0.22064130314704844,-0.002999481670514236,-0.008581952567607354,45.0,42.0,73.0,68.0,38.0,266.0
0.5,0.75,1.0,0.0,3.0,1,400,4.754289561711691,6.258011436995981,0.9575,0.029004353491935916,0.09469421132618798,2.737388943446547,0.6506420028475407,3.0,-0.13568831375632406,-0.21702295369905666,-0.0031195076569120357,-0.00872766059861016,52.0,54.0,56.0,62.0,53.0,277.0
0.5,0.75,1.0,0.0,4.0,1,400,4.753688542326664,6.257815154058588,0.96,0.028973361047899757,0.0946321843774546,2.7498922132427026,0.6571549540507491,4.0,-0.1362893331413515,-0.21721923663645004,-0.0031505001009481948,-0.008789687547343536,49.0,51.0,50.0,56.0,95.0,301.0
0.6,1.0,0.75,0.5,4.0,1,400,4.747950923923673,6.25664237639187,0.96,0.028911363215566883,0.09435669462577259,2.7573204992299907,0.6409890210970752,4.0,-0.14202695154434242,-0.21839201430316812,-0.0032124979332810687,-0.009065177299025548,30.0,48.0,43.0,42.0,141.0,304.0
0.6,1.0,0.5,0.0,4.0,1,400,4.762553230698156,6.287526036127399,0.96,0.028641836492800464,0.09381520326244079,2.733139633699068,0.627916763750955,4.0,-0.12742464476985926,-0.18750835456763948,-0.0034820246560474874,-0.009606668662357348,80.0,134.0,26.0,29.0,42.0,311.0
0.6,0.75,0.75,0.0,3.0,1,400,4.7642897843788505,6.276569836051356,0.9575,0.028985910337652382,0.09463128586124726,2.7188292086667616,0.6372435263763504,3.0,-0.1256880910891649,-0.19846455464368162,-0.0031379508111955695,-0.008790586063550876,84.0,96.0,53.0,55.0,25.0,313.0
0.5,0.75,1.0,0.0,2.5,1,400,4.759623416124461,6.2639023698959155,0.9575,0.029147531291248124,0.09498379710252709,2.7207042715593275,0.6386548351439206,2.5,-0.13035445934355483,-0.21113202079912252,-0.0029763298575998277,-0.008438074822271047,74.0,67.0,77.0,73.0,27.0,318.0
0.6,0.75,0.75,0.0,4.0,1,400,4.756486925441194,6.270899191193663,0.96,0.028791315770830907,0.09424001664222631,2.7533077882540624,0.654015323604857,4.0,-0.13349095002682176,-0.20413519950137538,-0.003332545378017044,-0.00918185528257183,60.0,82.0,34.0,39.0,108.0,323.0
0.45,1.0,0.75,0.0,3.0,1,400,4.761939124204925,6.273337748136058,0.9575,0.029038596938886406,0.09472447858664189,2.7304379136118655,0.5975301791384168,3.0,-0.12803875126309006,-0.20169664255898034,-0.0030852642099615454,-0.00869739333815625,77.0,93.0,60.0,63.0,36.0,329.0
0.45,1.0,0.75,0.0,4.0,1,400,4.758152414742793,6.2694010148452355,0.96,0.0290015017601927,0.09465006358885794,2.7455196285905856,0.6087051450732173,4.0,-0.1318254607252225,-0.20563337584980257,-0.003122359388655252,-0.008771808335940198,67.0,79.0,55.0,60.0,76.0,337.0
