district_id,rating,model_margin_label,model_margin_dem,dem_win_probability,incumbent_party,inferred_incumbent_party,incumbency_adjustment_dem,generic_house_incumbency_points,district_partisan_baseline_dem,region,district_type,tested_incumbency_points
MO-2,Lean R,R+5.9,-5.932033333333334,0.2711744183825932,R,R,0.0,1.25,-11.24,Midwest,Rural,1.25
MN-1,Lean R,R+5.9,-5.85203333333333,0.273817628387565,R,R,0.0,1.25,-11.159999999999997,Midwest,Rural,1.25
OH-7,Lean R,R+5.6,-5.585333333333333,0.2827444130242927,R,R,-1.25,1.25,-10.579999999999998,Midwest,Mixed,1.25
CA-40,Lean R,R+5.5,-5.543099999999999,0.2841740801592133,R,R,-1.25,1.25,-10.849999999999998,Pacific,Suburban,1.25
FL-4,Lean R,R+5.3,-5.27426666666667,0.2933758326207656,R,R,0.0,1.25,-10.270000000000003,Southeast,Rural,1.25
FL-16,Lean R,R+5.2,-5.243566666666666,0.2944376709284599,R,R,0.0,1.25,-11.175999999999998,Southeast,Mixed,1.25
MT-1,Lean R,R+5.2,-5.214266666666666,0.2954531721296443,R,R,0.0,1.25,-10.21,Mountain West,Rural,1.25
WA-5,Lean R,R+5.2,-5.1642666666666655,0.2971907955787374,R,R,0.0,1.25,-10.159999999999998,Northwest,Rural,1.25
SC-1,Lean R,R+4.9,-4.910866666666669,0.3060868809238552,R,R,0.0,1.25,-11.78,Southeast,Suburban,1.25
CO-5,Lean R,R+4.4,-4.404266666666666,0.3243078301602041,R,R,0.0,1.25,-9.4,Mountain West,Rural,1.25
FL-7,Lean R,R+4.4,-4.397566666666668,0.3245525758432875,R,R,0.0,1.25,-10.33,Southeast,Mixed,1.25
FL-27,Lean R,R+4.3,-4.277566666666667,0.3289522313808409,R,R,0.0,1.25,-10.21,Southeast,Mixed,1.25
CO-3,Lean R,R+4.3,-4.254266666666665,0.3298100174077711,R,R,0.0,1.25,-9.249999999999998,Mountain West,Rural,1.25
NY-2,Lean R,R+4.2,-4.205333333333334,0.3316151791940334,R,R,0.0,1.25,-10.45,Mid-Atlantic,Exurban,1.25
