district_id,rating,model_margin_label,model_margin_dem,dem_win_probability,district_partisan_baseline_dem,incumbency_adjustment_dem,candidate_quality_adjustment_dem,region,district_type,tested_multiplier
TX-5,Safe R,R+17.8,-17.79586666666667,0.0489867669573384,-19.91,-2.0,0.0,Middle South,Rural,0.8
OK-1,Likely R,R+17.6,-17.649733333333334,0.0501339656732085,-21.47,0.0,0.0,Great Plains,Rural,0.8
GA-10,Likely R,R+17.6,-17.605866666666664,0.0504832721341012,-21.72,0.0,0.0,Southeast,Rural,0.8
WI-7,Likely R,R+17.3,-17.311999999999998,0.0528833693437373,-21.72,0.0,0.0,Midwest,Rural,0.8
SC-5,Likely R,R+17.3,-17.305866666666667,0.0529345925077364,-21.42,0.0,0.0,Southeast,Rural,0.8
TX-31,Likely R,R+17.3,-17.2804,0.0531477814251361,-20.57,-2.0,0.0,Urban South,Mixed,0.8
TN-4,Likely R,R+17.2,-17.235866666666674,0.0535225318077046,-21.350000000000005,0.0,0.0,Middle South,Rural,0.8
TX-2,Likely R,R+17.1,-17.1204,0.0545058327625141,-22.41,0.0,0.0,Urban South,Mixed,0.8
WI-5,Likely R,R+17.0,-17.020400000000002,0.0553711534365432,-22.31,0.0,0.0,Midwest,Mixed,0.8
CA-5,Likely R,R+16.9,-16.949733333333334,0.0559904281488029,-18.77,-2.0,0.0,Pacific,Rural,0.8
NC-8,Likely R,R+16.9,-16.915866666666666,0.0562895168610026,-19.03,-2.0,0.0,Mid-Atlantic,Rural,0.8
GA-7,Likely R,R+16.7,-16.652666666666665,0.0586656261903956,-20.53,-2.0,0.0,Southeast,Suburban,0.8
TX-27,Likely R,R+16.6,-16.6404,0.0587786304526051,-19.93,-2.0,0.0,Urban South,Mixed,0.8
MI-1,Likely R,R+16.4,-16.372,0.0613028443627625,-20.78,0.0,0.0,Midwest,Rural,0.8
NY-23,Likely R,R+16.3,-16.309733333333334,0.0619027574088733,-20.13,0.0,0.0,Northeast,Rural,0.8
TX-22,Likely R,R+16.2,-16.221999999999998,0.0627573408360649,-20.63,0.0,0.0,Urban South,Rural,0.8
TN-7,Likely R,R+16.1,-16.114266666666666,0.0638217944484006,-21.11,0.0,0.0,Middle South,Mixed,0.8
OH-14,Likely R,R+16.1,-16.0504,0.0644607453503418,-19.34,-2.0,0.0,Midwest,Mixed,0.8
MO-4,Likely R,R+15.9,-15.931999999999997,0.0656610522788225,-20.339999999999996,0.0,0.0,Midwest,Rural,0.8
TX-21,Likely R,R+15.9,-15.861999999999998,0.0663804356909796,-20.27,0.0,0.0,Urban South,Rural,0.8
NY-21,Likely R,R+15.4,-15.379733333333329,0.0715387829526227,-19.199999999999996,0.0,0.0,Northeast,Rural,0.8
WA-4,Likely R,R+15.4,-15.375866666666663,0.0715815994086884,-19.49,0.0,0.0,Northwest,Rural,0.8
CA-23,Likely R,R+15.3,-15.319733333333334,0.0722058453523176,-17.14,-2.0,0.0,Pacific,Rural,0.8
NC-10,Likely R,R+15.1,-15.075866666666665,0.074976497714533,-17.189999999999998,-2.0,0.0,Mid-Atlantic,Rural,0.8
TX-17,Likely R,R+15.0,-15.045866666666669,0.0753240106088101,-17.16,-2.0,0.0,Middle South,Rural,0.8
MO-3,Likely R,R+15.0,-15.041999999999998,0.0753689086464439,-19.45,0.0,0.0,Midwest,Rural,0.8
TN-5,Likely R,R+15.0,-14.98426666666667,0.0760422121185912,-19.980000000000004,0.0,0.0,Middle South,Mixed,0.8
NC-5,Likely R,R+15.0,-14.965866666666663,0.0762579558144774,-17.08,-2.0,0.0,Mid-Atlantic,Rural,0.8
TX-10,Likely R,R+14.9,-14.900399999999998,0.0770301261891429,-20.19,0.0,0.0,Urban South,Mixed,0.8
NC-13,Likely R,R+14.8,-14.805866666666663,0.0781577823365266,-16.919999999999998,-2.0,0.0,Mid-Atlantic,Rural,0.8
FL-28,Likely R,R+14.8,-14.764266666666671,0.0786587863800477,-19.760000000000005,0.0,0.0,Southeast,Mixed,0.8
FL-3,Likely R,R+14.7,-14.715866666666663,0.0792453810206921,-18.83,0.0,0.0,Southeast,Rural,0.8
FL-5,Likely R,R+14.7,-14.694266666666664,0.0795084552015956,-19.69,0.0,0.0,Southeast,Mixed,0.8
TX-38,Likely R,R+14.7,-14.6804,0.0796777626267198,-19.97,0.0,0.0,Urban South,Mixed,0.8
NC-6,Likely R,R+14.7,-14.675866666666666,0.0797331845219062,-16.79,-2.0,0.0,Mid-Atlantic,Rural,0.8
FL-17,Likely R,R+14.6,-14.574266666666666,0.0809845569799331,-19.57,0.0,0.0,Southeast,Mixed,0.8
CO-4,Likely R,R+14.5,-14.539733333333333,0.0814139546732069,-18.36,0.0,0.0,Great Plains,Rural,0.8
KS-2,Likely R,R+14.0,-13.978133333333334,0.0886938062818497,-18.68,0.0,0.0,Great Plains,Mixed,0.8
TN-8,Likely R,R+13.9,-13.85426666666666,0.0903766689666341,-18.84999999999999,0.0,0.0,Middle South,Mixed,0.8
OK-5,Likely R,R+13.6,-13.558133333333332,0.094516991578567,-18.26,0.0,0.0,Great Plains,Mixed,0.8
MN-6,Likely R,R+13.5,-13.486533333333334,0.0955432419733268,-19.07,0.0,0.0,Midwest,Exurban,0.8
NY-11,Likely R,R+13.5,-13.482666666666669,0.0955989459838823,-19.36,0.0,0.0,Mid-Atlantic,Suburban,0.8
NC-14,Likely R,R+13.3,-13.285866666666664,0.0984726877074962,-15.4,-2.0,0.0,Mid-Atlantic,Rural,0.8
NC-9,Likely R,R+13.1,-13.08586666666667,0.1014717440392865,-15.200000000000005,-2.0,0.0,Mid-Atlantic,Rural,0.8
AZ-5,Likely R,R+13.0,-12.972666666666663,0.1032048966884231,-18.85,0.0,0.0,Southwest,Suburban,0.8
TN-9,Likely R,R+12.9,-12.924266666666664,0.1039538894242244,-17.919999999999998,0.0,0.0,Middle South,Mixed,0.8
OH-8,Likely R,R+12.9,-12.922,0.103989083736845,-15.330000000000002,-2.0,0.0,Midwest,Rural,0.8
MO-5,Likely R,R+12.7,-12.662,0.1080965253413395,-17.07,0.0,0.0,Midwest,Rural,0.8
IN-5,Likely R,R+12.3,-12.3188,0.1137361580498365,-16.49,-2.0,0.0,Midwest,Suburban,0.8
AR-2,Likely R,R+12.1,-12.148133333333334,0.1166350195179159,-14.85,-2.0,0.0,Middle South,Rural,0.8
FL-2,Likely R,R+12.0,-12.049733333333332,0.1183353851059372,-15.87,0.0,0.0,Deep South,Rural,0.8
FL-15,Likely R,R+12.0,-12.044266666666667,0.1184304763216321,-17.040000000000003,0.0,0.0,Southeast,Mixed,0.8
MD-1,Likely R,R+12.0,-11.965866666666663,0.1198015139862637,-16.08,0.0,0.0,Mid-Atlantic,Rural,0.8
WI-6,Likely R,R+11.8,-11.751999999999995,0.1236114172714125,-16.159999999999997,0.0,0.0,Midwest,Rural,0.8
WI-8,Likely R,R+11.6,-11.581999999999995,0.1267136897553981,-15.989999999999998,0.0,0.0,Midwest,Rural,0.8
TX-9,Likely R,R+11.2,-11.1504,0.1348896540000684,-16.44,0.0,0.0,Urban South,Mixed,0.8
GA-1,Likely R,R+10.9,-10.895866666666665,0.1399172080423478,-15.009999999999998,0.0,0.0,Southeast,Rural,0.8
AZ-8,Likely R,R+10.5,-10.494266666666668,0.148167762051301,-15.49,0.0,0.0,Southwest,Mixed,0.8
TX-15,Likely R,R+10.5,-10.478133333333336,0.1485074588401234,-13.18,-2.0,0.0,Southwest,Rural,0.8
NC-7,Lean R,R+10.3,-10.258133333333332,0.1532040726591701,-12.96,-2.0,0.0,Mid-Atlantic,Rural,0.8
GA-12,Lean R,R+10.2,-10.228133333333332,0.1538538609490069,-12.93,-2.0,0.0,Southeast,Rural,0.8
TX-24,Lean R,R+10.2,-10.161066666666668,0.1553146527265527,-14.919999999999998,-2.0,0.0,Urban South,Suburban,0.8
TX-32,Lean R,R+10.1,-10.130399999999998,0.1559863715952763,-15.419999999999996,0.0,0.0,Urban South,Mixed,0.8
NE-1,Lean R,R+10.1,-10.062,0.1574931271112548,-12.47,-2.0,0.0,Great Plains,Rural,0.8
KY-6,Lean R,R+9.4,-9.392,0.1728826799457177,-13.8,0.0,0.0,Appalachia,Rural,0.8
NC-3,Lean R,R+9.3,-9.30813333333333,0.174890570051929,-12.009999999999998,-2.0,0.0,Mid-Atlantic,Rural,0.8
FL-18,Lean R,R+9.3,-9.276533333333331,0.1756518721481207,-14.859999999999998,0.0,0.0,Southeast,Mixed,0.8
FL-8,Lean R,R+8.9,-8.89653333333333,0.1850115696384592,-14.479999999999997,0.0,0.0,Southeast,Mixed,0.8
FL-9,Lean R,R+8.8,-8.846533333333333,0.1862713883232538,-14.43,0.0,0.0,Southeast,Mixed,0.8
NV-2,Lean R,R+8.4,-8.39813333333333,0.1978654847175147,-13.099999999999998,0.0,0.0,Mountain West,Rural,0.8
FL-21,Lean R,R+8.4,-8.396533333333334,0.1979078120567905,-13.98,0.0,0.0,Southeast,Mixed,0.8
MN-8,Lean R,R+8.4,-8.374266666666667,0.198497575490498,-13.37,0.0,0.0,Midwest,Rural,0.8
FL-11,Lean R,R+8.3,-8.286533333333335,0.2008341763578854,-13.87,0.0,0.0,Southeast,Mixed,0.8
SC-2,Lean R,R+8.3,-8.278133333333333,0.2010589702060109,-12.98,0.0,0.0,Southeast,Rural,0.8
TX-23,Lean R,R+7.7,-7.748133333333331,0.215623457357876,-12.449999999999998,0.0,0.0,Southwest,Rural,0.8
NJ-2,Lean R,R+7.6,-7.618133333333332,0.2193105138312821,-10.32,-2.0,0.0,Mid-Atlantic,Rural,0.8
FL-26,Lean R,R+7.6,-7.556533333333337,0.2210733694815578,-13.140000000000002,0.0,0.0,Southeast,Mixed,0.8
NC-11,Lean R,R+7.5,-7.542,0.2214907577830291,-9.95,-2.0,0.0,Appalachia,Rural,0.8
AZ-2,Lean R,R+7.2,-7.216533333333335,0.2309853812429338,-12.8,0.0,0.0,Southwest,Mixed,0.8
FL-12,Lean R,R+6.9,-6.866533333333332,0.2415093611429973,-12.449999999999998,0.0,0.0,Southeast,Mixed,0.8
OH-7,Lean R,R+6.7,-6.702666666666666,0.246547535876199,-10.579999999999998,-2.0,0.0,Midwest,Mixed,0.8
CA-40,Lean R,R+6.7,-6.678799999999998,0.2472871999663021,-10.849999999999998,-2.0,0.0,Pacific,Suburban,0.8
AK-AL,Lean R,R+6.6,-6.5865333333333345,0.2501606718620023,-12.17,0.0,0.0,Northwest,Mixed,0.8
FL-13,Lean R,R+6.4,-6.416533333333333,0.2555129770568877,-11.999999999999998,0.0,0.0,Southeast,Mixed,0.8
VA-5,Lean R,R+6.3,-6.29813333333333,0.2592848471655159,-10.999999999999996,0.0,0.0,Mid-Atlantic,Rural,0.8
MO-2,Lean R,R+6.2,-6.244266666666667,0.2610128078538329,-11.24,0.0,0.0,Midwest,Rural,0.8
MN-1,Lean R,R+6.2,-6.164266666666664,0.2635927923685541,-11.159999999999997,0.0,0.0,Midwest,Rural,0.8
FL-16,Lean R,R+5.6,-5.592533333333333,0.2825011164706175,-11.175999999999998,0.0,0.0,Southeast,Mixed,0.8
FL-4,Lean R,R+5.6,-5.5681333333333365,0.2833261349504177,-10.270000000000003,0.0,0.0,Southeast,Rural,0.8
MT-1,Lean R,R+5.5,-5.508133333333332,0.2853610514871638,-10.21,0.0,0.0,Mountain West,Rural,0.8
WA-5,Lean R,R+5.5,-5.458133333333332,0.2870635044224272,-10.159999999999998,0.0,0.0,Northwest,Rural,0.8
SC-1,Lean R,R+5.3,-5.314933333333335,0.2919727259032805,-11.78,0.0,0.0,Southeast,Suburban,0.8
OH-15,Lean R,R+5.0,-5.048799999999999,0.3012259769892895,-9.22,-2.0,0.0,Midwest,Exurban,0.8
FL-7,Lean R,R+4.7,-4.746533333333335,0.3119349116907651,-10.33,0.0,0.0,Southeast,Mixed,0.8
CO-5,Lean R,R+4.7,-4.698133333333332,0.3136688937888123,-9.4,0.0,0.0,Mountain West,Rural,0.8
FL-27,Lean R,R+4.6,-4.626533333333334,0.3162436048148608,-10.21,0.0,0.0,Southeast,Mixed,0.8
NY-2,Lean R,R+4.6,-4.572666666666667,0.3181880967236518,-10.45,0.0,0.0,Mid-Atlantic,Exurban,0.8
CO-3,Lean R,R+4.5,-4.548133333333332,0.3190758171026661,-9.249999999999998,0.0,0.0,Mountain West,Rural,0.8
ME-2,Lean R,R+4.1,-4.072000000000001,0.3365589537195236,-8.48,0.0,0.0,Northeast,Rural,0.8
PA-8,Tilt R,R+3.5,-3.5303999999999993,0.3570020527527968,-6.8199999999999985,-2.0,0.0,Northeast,Mixed,0.8
NC-1,Tilt R,R+3.5,-3.488133333333331,0.3586207400315211,-10.189999999999998,2.0,0.0,Mid-Atlantic,Rural,0.8
IA-1,Tilt R,R+2.9,-2.942666666666666,0.3797888734939811,-6.8199999999999985,-2.0,0.0,Midwest,Mixed,0.8
FL-14,Tilt R,R+2.6,-2.606533333333336,0.3930708416321062,-8.190000000000001,0.0,0.0,Southeast,Mixed,0.8
IA-2,Tilt R,R+2.4,-2.4426666666666694,0.3996050243815745,-8.320000000000002,0.0,0.0,Midwest,Mixed,0.8
OH-10,Tilt R,R+2.4,-2.3710666666666684,0.4024714799762013,-7.130000000000001,-2.0,0.0,Midwest,Suburban,0.8
TX-35,Tilt R,R+2.0,-1.9726666666666688,0.4185380383354239,-7.850000000000001,0.0,0.0,Urban South,Mixed,0.8
NY-1,Tilt R,R+1.7,-1.7326666666666686,0.4283031135996511,-7.610000000000001,0.0,0.0,Mid-Atlantic,Exurban,0.8
OH-9,Tilt R,R+1.5,-1.4826666666666668,0.4385346803794838,-9.36,2.0,0.0,Midwest,Mixed,0.8
FL-22,Toss-Up,R+1.1,-1.1065333333333331,0.4540246783239304,-6.689999999999999,0.0,0.0,Southeast,Mixed,0.8
WI-3,Toss-Up,R+0.7,-0.7126666666666654,0.4703404175382033,-6.589999999999998,0.0,0.0,Midwest,Mixed,0.8
PA-10,Toss-Up,R+0.7,-0.6987999999999976,0.4709162014644674,-4.869999999999997,-2.0,0.0,Mid-Atlantic,Mixed,0.8
VA-1,Toss-Up,D+0.4,0.4373333333333349,0.5182141589358625,-5.439999999999998,0.0,0.0,Mid-Atlantic,Exurban,0.8
TX-34,Toss-Up,D+0.5,0.5018666666666665,0.5208989277722157,-6.2,2.0,0.0,Southwest,Rural,0.8
MI-4,Toss-Up,D+0.7,0.6873333333333331,0.528607610981522,-5.1899999999999995,0.0,0.0,Midwest,Mixed,0.8
FL-25,Tilt D,D+1.3,1.261199999999997,0.5523573618333306,-4.910000000000003,0.0,0.0,Southeast,Mixed,0.8
IA-3,Tilt D,D+1.3,1.265066666666664,0.5525167009513382,-3.200000000000002,-2.0,0.0,Midwest,Mixed,0.8
MI-10,Tilt D,D+1.6,1.6150666666666664,0.5668910394840211,-4.85,0.0,0.0,Midwest,Mixed,0.8
WA-3,Tilt D,D+2.9,2.895066666666666,0.6183406615058178,-3.5700000000000003,0.0,0.0,Northwest,Exurban,0.8
