retention_level,race_id,actual_dem_margin,actual_winner,layer_2_margin_dem,layer_3_margin_dem,layer_2_dem_probability,layer_3_dem_probability,probability_change_dem,margin_change_dem,layer_2_correct_winner,layer_3_correct_winner,winner_call_changed,characteristics_elasticity,district_elasticity
0.0,FL-28,-27.3701160312574,R,-10.436666666666667,-10.436666666666667,0.1671946796888156,0.1671946796888156,0.0,0.0,True,True,False,1.3925892208040087,1.0
0.0,GA-1,-18.294470857878885,R,-17.53666666666667,-17.53666666666667,0.06309450608276812,0.06309450608276812,0.0,0.0,True,True,False,0.8766338700236233,1.0
0.0,GA-2,9.948620203861772,D,10.163333333333334,10.163333333333334,0.8268678545094663,0.8268678545094663,0.0,0.0,True,True,False,0.7186194678809991,1.0
0.0,GA-3,-37.49971826995212,R,-34.23666666666667,-34.23666666666667,0.005131668811960468,0.005131668811960468,0.0,0.0,True,True,False,0.9112491556099463,1.0
0.0,GA-4,56.970475340487745,D,57.56333333333333,57.56333333333333,0.9998574816741945,0.9998574816741945,0.0,0.0,True,True,False,0.3032515274539062,1.0
0.0,GA-5,64.95654175240983,D,66.36333333333333,66.36333333333333,0.9999631914498583,0.9999631914498583,0.0,0.0,True,True,False,0.2942521909749185,1.0
0.0,GA-6,-24.44345529897924,R,-17.03666666666667,-17.03666666666667,0.06779744334836305,0.06779744334836305,0.0,0.0,True,True,False,0.39827162612623,1.0
0.0,GA-7,21.74149821944443,D,25.663333333333334,25.663333333333334,0.9810757429989886,0.9810757429989886,0.0,0.0,True,True,False,1.1998157120731188,1.0
0.0,GA-8,-37.152418011712065,R,-31.736666666666668,-31.736666666666668,0.007520571876303972,0.007520571876303972,0.0,0.0,True,True,False,0.8620383931875538,1.0
0.0,GA-9,-44.70758623503254,R,-42.03666666666667,-42.03666666666667,0.0015511915784566514,0.0015511915784566514,0.0,0.0,True,True,False,0.9690088923784392,1.0
0.0,GA-10,-29.066085882391185,R,-25.536666666666665,-25.536666666666665,0.019289470750771535,0.019289470750771535,0.0,0.0,True,True,False,0.919901004538764,1.0
0.0,GA-11,-25.197838350507315,R,-19.436666666666667,-19.436666666666667,0.04786800217282557,0.04786800217282557,0.0,0.0,True,True,False,0.864720215751893,1.0
0.0,GA-12,-19.19304662606761,R,-14.236666666666666,-14.236666666666666,0.10062888536385475,0.10062888536385475,0.0,0.0,True,True,False,0.784358643332068,1.0
0.0,GA-13,63.548689421652504,D,60.26333333333333,60.26333333333333,0.9999059210405994,0.9999059210405994,0.0,0.0,True,True,False,0.4963102079368176,1.0
0.0,GA-14,-31.729313995300966,R,-41.53666666666667,-41.53666666666667,0.001675015549920845,0.001675015549920845,0.0,0.0,True,True,False,0.9142342345826356,1.0
0.0,HI-1,45.62205378054927,D,29.263333333333332,29.263333333333332,0.989035324727124,0.989035324727124,0.0,0.0,True,True,False,0.8962060862764526,1.0
0.0,HI-2,25.59301334193608,D,27.363333333333333,27.363333333333333,0.985367125173237,0.985367125173237,0.0,0.0,True,True,False,0.953619051783309,1.0
0.0,IA-1,-6.7070020921042435,R,-7.036666666666667,-7.036666666666667,0.2530210908129597,0.2530210908129597,0.0,0.0,True,True,False,1.2523965987058596,1.0
0.0,IA-2,-8.1618751691254,R,-8.536666666666667,-8.536666666666667,0.2119295914128065,0.2119295914128065,0.0,0.0,True,True,False,1.2590931288658154,1.0
0.0,IA-3,-0.6808680829992477,R,-0.436666666666667,-0.436666666666667,0.4832114417440193,0.4832114417440193,0.0,0.0,True,True,False,1.2412357151059334,1.0
