retention_level,group_type,group_value,races,layer_2_mae,layer_3_mae,mae_change,layer_2_rmse,layer_3_rmse,improved_races,worsened_races,unchanged_races,mean_margin_change,mean_absolute_margin_change,maximum_absolute_margin_change
0.4,district_type,Urban,72,5.469301688233751,5.488416358945817,0.01911467071206611,6.8985137571554676,6.901831365957886,31,41,0,0.15899417345335282,0.3196124350077255,0.6584377289254046
0.45,overall,All scored races,400,4.889977875468015,4.879934899923327,-0.010042975544688111,6.475034390695038,6.470425012077745,197,203,0,9.01501095995627e-16,0.359660897433328,0.7405834911145881
0.45,reliability,high,282,4.527212393522313,4.534852989776618,0.007640596254304941,6.11229256460485,6.124861253780763,132,150,0,-0.013222322973502567,0.377793094538627,0.7405834911145881
0.45,reliability,insufficient_single_cycle,4,9.90387383881809,10.164425833514185,0.2605519946960957,11.807154905976516,11.88602043976222,2,2,0,0.26055199469609525,0.3102101633538301,0.6645502131987904
0.45,reliability,low,45,4.247917724327875,4.138930974915317,-0.10898674941255744,5.3796991344465335,5.350359033196356,30,15,0,0.05509769560388826,0.24083111106761962,0.7202905721147235
0.45,reliability,medium,58,6.642783895945366,6.60043629295197,-0.04234760299339547,8.10456189013636,8.052148622855213,29,29,0,0.021060254636005134,0.3831726783330473,0.7405834911145881
0.45,reliability,no_scorable_history,11,5.751272390823274,5.7645922414422195,0.013319850618945544,7.168229659240941,7.095363521392797,4,7,0,-0.09221854284723326,0.27495002896940585,0.5465265586982753
0.45,prediction_source,Characteristics fallback,15,6.858632776955225,6.937881199328077,0.07924842237285225,8.651991326928684,8.636727567335555,6,9,0,0.0018536004976543508,0.284352731471919,0.6645502131987904
0.45,prediction_source,District DNA,385,4.813277035150332,4.7997551739724935,-0.013521861177839035,6.375190108793527,6.37113294756435,191,194,0,-7.221820120636853e-05,0.36259498182143485,0.7405834911145881
0.45,competitiveness,Within 5,26,5.075360196193751,4.8295263918464135,-0.2458338043473362,6.323407802877534,6.153590145322874,18,8,0,-0.10720008558788871,0.4070639441466207,0.7405834911145863
0.45,competitiveness,5 to 10,41,5.20584070074331,5.141994368526657,-0.06384633221665291,6.773652040809527,6.710196106442748,22,19,0,-0.1839837158315292,0.40673746311942277,0.7405834911145863
0.45,competitiveness,10 to 20,90,5.297625605836458,5.293767636599436,-0.0038579692370221763,7.111752847138969,7.102991037761945,44,46,0,-0.027185790032195387,0.35316912954630203,0.7405834911145881
0.45,competitiveness,Over 20,243,4.6658683614420235,4.687841223776881,0.021972862334857048,6.185638514414538,6.211368548459837,113,130,0,0.0525812990834393,0.3490503653434386,0.7405834911145881
0.45,boundary_status,Configured boundary-break state,64,5.724516986163392,5.60080566075664,-0.12371132540675285,7.198093761780297,7.136767229862528,40,24,0,-0.03836082817128401,0.3249610235118039,0.7405834911145881
0.45,boundary_status,Other state,336,4.731018044859373,4.742626183574125,0.011608138714752792,6.327948376631451,6.335561800736843,157,179,0,0.0073068244135789835,0.3662703972279041,0.7405834911145881
0.45,district_type,Exurban,14,4.152407123846518,3.834049933398018,-0.3183571904485,4.684413331041608,4.352619126449051,11,3,0,-0.2876788880847734,0.5596551000083135,0.7405834911145863
0.45,district_type,Mixed,107,5.226749318157319,5.216845957922576,-0.009903360234742222,7.302365227022569,7.274765251740943,49,58,0,-0.07024357160636875,0.32698804335492027,0.7405834911145881
0.45,district_type,Rural,138,4.33709595653513,4.3914413018472125,0.054345345312083196,5.657310534134516,5.720769089405687,62,76,0,0.04359099828395462,0.35018074486154294,0.7405834911145881
0.45,district_type,Suburban,69,5.018642171823824,4.909248784226711,-0.10939338759711378,6.498979342501003,6.450089698757171,44,25,0,-0.10648921230704007,0.38889090252506386,0.7405834911145881
0.45,district_type,Urban,72,5.469301688233751,5.490801078298397,0.021499390064646455,6.8985137571554676,6.903746583667364,31,41,0,0.17883006223706488,0.3594868315155002,0.7405834911145863
0.5,overall,All scored races,400,4.889977875468015,4.88007881026006,-0.009899065207955358,6.475034390695038,6.471664162865347,197,203,0,6.927791673660977e-16,0.39953748369767517,0.8226940059916075
0.5,reliability,high,282,4.527212393522313,4.536268422516496,0.009056028994182527,6.11229256460485,6.128217753969028,132,150,0,-0.014688318043944687,0.4196800470318067,0.8226940059916075
0.5,reliability,insufficient_single_cycle,4,9.90387383881809,10.193313944974154,0.28944010615606297,11.807154905976516,11.895608669890702,2,2,0,0.28944010615606264,0.3446040116351802,0.7382307108362163
0.5,reliability,low,45,4.247917724327875,4.12893830273053,-0.11897942159734581,5.3796991344465335,5.348240592864685,30,15,0,0.06120652763815858,0.26753271428376224,0.8001511556235354
0.5,reliability,medium,58,6.642783895945366,6.6000274138834705,-0.042756482061895376,8.10456189013636,8.047911307807043,29,29,0,0.023395262602494846,0.4256560799781236,0.8226940059916075
0.5,reliability,no_scorable_history,11,5.751272390823274,5.76606904966915,0.014796658845874939,7.168229659240941,7.0881948871138665,4,7,0,-0.10244306462667364,0.30543448982357996,0.6071214513296894
0.5,prediction_source,Characteristics fallback,15,6.858632776955225,6.946667688417151,0.08803491146192507,8.651991326928684,8.63593112850218,6,9,0,0.0020591142487227008,0.31587969564000673,0.7382307108362163
