race_id,baseline_only_presidential_baseline,layer_1_presidential_baseline,layer_1_national_environment,layer_2_presidential_baseline,layer_2_national_environment,layer_2_incumbency,baseline_only_margin_dem,layer_1_margin_dem,layer_2_margin_dem
MD-8,62.6,62.6,-2.136666666666667,62.6,-2.136666666666667,1.5,62.6,60.46333333333333,61.96333333333333
ME-1,22.8,22.8,-2.136666666666667,22.8,-2.136666666666667,1.5,22.8,20.663333333333334,22.163333333333334
ME-2,-6.1,-6.1,-2.136666666666667,-6.1,-2.136666666666667,1.5,-6.1,-8.236666666666666,-6.736666666666666
MI-1,-19.8,-19.8,-2.136666666666667,-19.8,-2.136666666666667,-1.5,-19.8,-21.936666666666667,-23.436666666666667
MI-2,-28.2,-28.2,-2.136666666666667,-28.2,-2.136666666666667,-1.5,-28.2,-30.336666666666666,-31.836666666666666
MI-3,8.5,8.5,-2.136666666666667,8.5,-2.136666666666667,0.0,8.5,6.363333333333333,6.363333333333333
MI-4,-3.9,-3.9,-2.136666666666667,-3.9,-2.136666666666667,-1.5,-3.9,-6.036666666666667,-7.536666666666667
MI-5,-24.2,-24.2,-2.136666666666667,-24.2,-2.136666666666667,-1.5,-24.2,-26.336666666666666,-27.836666666666666
MI-6,26.7,26.7,-2.136666666666667,26.7,-2.136666666666667,1.5,26.7,24.563333333333333,26.063333333333333
MI-7,0.5,0.5,-2.136666666666667,0.5,-2.136666666666667,1.5,0.5,-1.6366666666666672,-0.13666666666666716
MI-8,2.0,2.0,-2.136666666666667,2.0,-2.136666666666667,1.5,2.0,-0.13666666666666716,1.3633333333333328
MI-9,-29.5,-29.5,-2.136666666666667,-29.5,-2.136666666666667,-1.5,-29.5,-31.636666666666667,-33.13666666666667
MI-10,-1.0,-1.0,-2.136666666666667,-1.0,-2.136666666666667,0.0,-1.0,-3.136666666666667,-3.136666666666667
MI-11,19.8,19.8,-2.136666666666667,19.8,-2.136666666666667,1.5,19.8,17.663333333333334,19.163333333333334
MI-12,48.5,48.5,-2.136666666666667,48.5,-2.136666666666667,1.5,48.5,46.36333333333333,47.86333333333333
MI-13,49.6,49.6,-2.136666666666667,49.6,-2.136666666666667,0.0,49.6,47.46333333333333,47.46333333333333
MN-1,-9.2,-9.2,-2.136666666666667,-9.2,-2.136666666666667,-1.5,-9.2,-11.336666666666666,-12.836666666666666
MN-2,7.2,7.2,-2.136666666666667,7.2,-2.136666666666667,1.5,7.2,5.063333333333333,6.563333333333333
MN-3,21.0,21.0,-2.136666666666667,21.0,-2.136666666666667,1.5,21.0,18.863333333333333,20.363333333333333
MN-4,37.6,37.6,-2.136666666666667,37.6,-2.136666666666667,1.5,37.6,35.46333333333333,36.96333333333333
MN-5,63.1,63.1,-2.136666666666667,63.1,-2.136666666666667,1.5,63.1,60.96333333333333,62.46333333333333
MN-6,-17.6,-17.6,-2.136666666666667,-17.6,-2.136666666666667,-1.5,-17.6,-19.736666666666668,-21.236666666666668
MN-7,-33.2,-33.2,-2.136666666666667,-33.2,-2.136666666666667,-1.5,-33.2,-35.33666666666667,-36.83666666666667
