race_id,state,district,region,district_type,college_share_tier,white_share_tier,black_share_tier,hispanic_share_tier,median_income_tier,pres_2020_margin_dem,pres_2024_margin_dem
OH-5,OH,5,Midwest,Rural,Low,Very High,Low,Low,,-21.199999999999996,-23.7
OH-6,OH,6,Appalachia,Rural,Low,Very High,Low,Low,,-29.800000000000004,-34.6
OH-7,OH,7,Midwest,Mixed,High,Very High,Low,Low,,-9.600000000000001,-11.0
OH-8,OH,8,Midwest,Rural,Medium,Very High,Medium,Low,,-14.700000000000003,-15.6
OH-9,OH,9,Midwest,Mixed,Medium,Very High,Medium,Low,,-6.700000000000003,-10.5
OH-10,OH,10,Midwest,Suburban,Medium,High,Medium,Low,,-5.800000000000004,-7.7
OH-11,OH,11,Midwest,Urban,Medium,Low,High,Low,,57.599999999999994,55.0
OH-12,OH,12,Midwest,Exurban,Medium,Very High,Low,Low,,-28.900000000000006,-30.0
OH-13,OH,13,Midwest,Mixed,Medium,Very High,Medium,Low,,5.900000000000006,3.2
OH-14,OH,14,Midwest,Mixed,Medium,Very High,Low,Low,,-17.1,-20.3
OH-15,OH,15,Midwest,Exurban,Medium,Very High,Medium,Low,,-7.399999999999999,-10.0
OK-1,OK,1,Great Plains,Rural,Medium,Medium,Medium,Low,,-21.4,-21.5
OK-2,OK,2,Great Plains,Rural,Low,High,Low,Low,,-53.4,-55.6
OK-3,OK,3,Great Plains,Rural,Low,High,Low,Medium,,-42.8,-44.8
OK-4,OK,4,Great Plains,Rural,Medium,High,Low,Low,,-30.900000000000006,-32.9
OK-5,OK,5,Great Plains,Mixed,High,High,Medium,Low,,-18.4,-18.2
OR-1,OR,1,Pacific,Suburban,High,High,Low,Low,,38.800000000000004,37.6
OR-2,OR,2,Pacific,Rural,Low,Very High,Low,Low,,-24.300000000000004,-27.1
OR-3,OR,3,Pacific,Urban,Very High,High,Low,Low,,47.0,45.6
OR-4,OR,4,Pacific,Mixed,Medium,Very High,Low,Low,,12.700000000000003,12.0
OR-5,OR,5,Pacific,Mixed,High,Very High,Low,Low,,8.799999999999997,8.6
OR-6,OR,6,Pacific,Mixed,Medium,High,Low,Medium,,13.099999999999994,11.3
PA-1,PA,1,Mid-Atlantic,Suburban,High,Very High,Low,Low,,4.599999999999994,0.3
PA-2,PA,2,Mid-Atlantic,Urban,Medium,Low,High,Medium,,42.7,35.7
PA-3,PA,3,Mid-Atlantic,Urban,High,Low,Very High,Low,,80.8,77.3
PA-4,PA,4,Mid-Atlantic,Suburban,Very High,Very High,Low,Low,,18.9,15.8
PA-5,PA,5,Mid-Atlantic,Suburban,High,High,Low,Low,,32.300000000000004,28.6
PA-6,PA,6,Mid-Atlantic,Suburban,Very High,High,Low,Low,,14.799999999999997,11.4
PA-7,PA,7,Mid-Atlantic,Suburban,Medium,High,Low,Medium,,0.6000000000000014,-3.2
PA-8,PA,8,Northeast,Mixed,Medium,Very High,Low,Low,,-2.8999999999999986,-8.5
PA-9,PA,9,Northeast,Rural,Low,Very High,Low,Low,,-36.5,-37.9
PA-10,PA,10,Mid-Atlantic,Mixed,Medium,High,Medium,Low,,-4.099999999999994,-5.2
PA-11,PA,11,Mid-Atlantic,Mixed,Medium,Very High,Low,Low,,-21.299999999999997,-21.4
PA-12,PA,12,Appalachia,Urban,High,High,Medium,Low,,19.9,19.2
PA-13,PA,13,Appalachia,Rural,Low,Very High,Low,Low,,-45.2,-45.5
PA-14,PA,14,Appalachia,Rural,Medium,Very High,Low,Low,,-31.5,-33.4
PA-15,PA,15,Appalachia,Rural,Low,Very High,Low,Low,,-37.0,-38.0
PA-16,PA,16,Midwest,Rural,Medium,Very High,Low,Low,,-20.700000000000003,-22.8
PA-17,PA,17,Appalachia,Mixed,High,Very High,Low,Low,,5.799999999999997,5.5
RI-1,RI,1,Northeast,Mixed,High,High,Medium,Medium,,29.0,22.0
RI-2,RI,2,Northeast,Mixed,Medium,Very High,Low,Low,,13.599999999999994,6.7
SC-1,SC,1,Southeast,Suburban,High,High,Medium,Low,,-8.700000000000003,-13.1
SC-2,SC,2,Southeast,Rural,Medium,High,High,Low,,-10.600000000000001,-14.0
SC-3,SC,3,Southeast,Rural,Low,High,Medium,Low,,-37.4,-43.0
SC-4,SC,4,Southeast,Rural,Medium,High,Medium,Low,,-18.6,-23.6
SC-5,SC,5,Southeast,Rural,Medium,High,Medium,Low,,-18.199999999999996,-22.8
SC-6,SC,6,Southeast,Rural,Medium,Low,Very High,Low,,32.099999999999994,22.8
SC-7,SC,7,Southeast,Rural,Low,High,High,Low,,-18.599999999999994,-26.4
SD-AL,SD,AL,Great Plains,Rural,Medium,Very High,Low,Low,,-26.199999999999996,-29.2
TN-1,TN,1,Appalachia,Rural,Low,Very High,Low,Low,,-54.3,-57.800000000000004
TN-2,TN,2,Appalachia,Rural,Medium,Very High,Low,Low,,-29.300000000000004,-33.800000000000004
TN-3,TN,3,Appalachia,Rural,Medium,Very High,Medium,Low,,-31.700000000000003,-35.7
TN-4,TN,4,Middle South,Rural,Medium,High,Medium,Low,,-15.399999999999999,-23.900000000000006
TN-5,TN,5,Middle South,Mixed,Medium,High,High,Low,,-12.700000000000003,-23.1
TN-6,TN,6,Middle South,Mixed,Medium,Very High,Medium,Low,,-20.1,-26.5
TN-7,TN,7,Middle South,Mixed,Medium,High,Medium,Low,,-18.1,-22.4
TN-8,TN,8,Middle South,Mixed,Medium,High,High,Low,,-15.700000000000003,-20.199999999999996
TN-9,TN,9,Middle South,Mixed,Medium,Medium,High,Low,,-10.5,-21.1
TX-1,TX,1,Middle South,Rural,Low,High,Medium,Low,,-43.8,-49.4
TX-2,TX,2,Urban South,Mixed,Medium,Medium,Medium,Medium,,-21.5,-22.8
TX-3,TX,3,Middle South,Rural,High,Medium,Medium,Medium,,-17.4,-23.3
TX-4,TX,4,Middle South,Rural,Very High,Medium,Low,Low,,-17.900000000000006,-24.6
TX-5,TX,5,Middle South,Rural,Low,Medium,Medium,Medium,,-16.200000000000003,-21.5
TX-6,TX,6,Middle South,Rural,Medium,Medium,Medium,Medium,,-19.5,-22.8
TX-7,TX,7,Urban South,Suburban,High,Low,Medium,High,,31.5,23.4
TX-8,TX,8,Middle South,Rural,Medium,Low,Medium,High,,-16.699999999999996,-27.6
TX-9,TX,9,Urban South,Mixed,Low,Low,Medium,Very High,,-8.600000000000001,-19.8
TX-10,TX,10,Urban South,Mixed,High,Medium,Low,Medium,,-14.799999999999997,-22.5
TX-11,TX,11,Middle South,Mixed,Medium,Medium,Low,High,,-30.0,-34.3
TX-12,TX,12,Middle South,Rural,Medium,Medium,Low,Medium,,-17.700000000000003,-23.8
TX-13,TX,13,Middle South,Rural,Low,Medium,Low,Medium,,-44.1,-46.1
TX-14,TX,14,Middle South,Mixed,Medium,Medium,Medium,Medium,,-21.5,-24.2
TX-15,TX,15,Southwest,Rural,Low,Low,Low,Very High,,-2.4000000000000057,-17.8
TX-16,TX,16,Southwest,Urban,Low,Low,Low,Very High,,35.6,16.3
TX-17,TX,17,Middle South,Rural,Medium,Medium,Medium,Medium,,-15.200000000000003,-18.0
TX-18,TX,18,Urban South,Urban,Medium,Low,High,High,,63.6,54.8
TX-19,TX,19,Middle South,Rural,Low,Medium,Low,High,,-46.199999999999996,-51.6
TX-20,TX,20,Urban South,Urban,Low,Low,Medium,Very High,,40.199999999999996,28.4
TX-21,TX,21,Urban South,Rural,High,Medium,Low,High,,-16.700000000000003,-21.8
TX-22,TX,22,Urban South,Rural,High,Medium,Medium,Medium,,-17.199999999999996,-22.1
TX-23,TX,23,Southwest,Rural,Medium,Low,Low,Very High,,-7.199999999999996,-14.7
TX-24,TX,24,Urban South,Suburban,Very High,High,Low,Medium,,-12.399999999999999,-16.0
TX-25,TX,25,Urban South,Mixed,Medium,Medium,Medium,Medium,,-15.800000000000004,-24.0
TX-26,TX,26,Urban South,Suburban,High,Medium,Medium,Medium,,-18.5,-23.7
TX-27,TX,27,Urban South,Mixed,Medium,Medium,Low,High,,-17.199999999999996,-21.1
TX-28,TX,28,Southwest,Rural,Low,Low,Low,Very High,,9.599999999999994,-10.3
TX-29,TX,29,Urban South,Urban,Low,Low,High,Very High,,43.00000000000001,30.4
TX-30,TX,30,Urban South,Urban,Low,Low,Very High,High,,56.8,40.7
TX-31,TX,31,Urban South,Mixed,Medium,Medium,Medium,Medium,,-17.699999999999996,-21.8
TX-32,TX,32,Urban South,Mixed,High,Medium,Medium,Medium,,-10.099999999999994,-17.7
TX-33,TX,33,Urban South,Urban,Medium,Low,Medium,Very High,,44.900000000000006,32.5
TX-34,TX,34,Southwest,Rural,Low,Low,Low,Very High,,2.8999999999999986,-10.1
TX-35,TX,35,Urban South,Mixed,Low,Low,Low,Very High,,-1.9000000000000057,-10.4
TX-36,TX,36,Urban South,Rural,Medium,Medium,Medium,Medium,,-18.4,-24.9
TX-37,TX,37,Urban South,Mixed,Very High,Medium,Low,High,,62.39999999999999,56.2
TX-38,TX,38,Urban South,Mixed,Very High,Medium,Medium,Medium,,-17.800000000000004,-20.9
UT-1,UT,1,Mountain West,Urban,Medium,High,Low,Medium,,24.6,23.6
UT-2,UT,2,Mountain West,Rural,Medium,Very High,Low,Low,,-30.4,-28.9
UT-3,UT,3,Mountain West,Rural,Medium,Very High,Low,Low,,-40.7,-41.3
UT-4,UT,4,Mountain West,Rural,High,Very High,Low,Low,,-33.0,-32.4
VT-AL,VT,AL,Northeast,Rural,High,Very High,Low,Low,,35.39999999999999,34.8
VA-1,VA,1,Mid-Atlantic,Exurban,High,High,Medium,Low,,-6.699999999999996,-4.899999999999999
VA-2,VA,2,Mid-Atlantic,Mixed,Very High,High,Medium,Low,,2.0,-0.19999999999999574
VA-3,VA,3,Mid-Atlantic,Urban,Medium,Low,Very High,Low,,38.1,34.60000000000001
VA-4,VA,4,Mid-Atlantic,Mixed,Medium,Medium,High,Low,,35.8,32.60000000000001
VA-5,VA,5,Mid-Atlantic,Rural,Medium,High,Medium,Low,,-8.200000000000003,-12.199999999999996
VA-6,VA,6,Mid-Atlantic,Rural,Medium,High,Low,Low,,-22.1,-24.0
VA-7,VA,7,Mid-Atlantic,Suburban,High,Medium,Medium,Medium,,6.699999999999996,2.8999999999999986
VA-8,VA,8,Mid-Atlantic,Suburban,Very High,Medium,Medium,Medium,,55.6,49.2
VA-9,VA,9,Appalachia,Rural,Low,Very High,Low,Low,,-41.900000000000006,-43.900000000000006
VA-10,VA,10,Mid-Atlantic,Suburban,Very High,Medium,Low,Medium,,18.0,8.300000000000004
VA-11,VA,11,Mid-Atlantic,Suburban,Very High,Medium,Low,Low,,41.00000000000001,34.0
WA-1,WA,1,Northwest,Suburban,Very High,Medium,Low,Low,,30.4,28.5
WA-2,WA,2,Northwest,Suburban,Medium,High,Low,Low,,22.700000000000003,23.5
WA-3,WA,3,Northwest,Exurban,Medium,Very High,Low,Low,,-4.200000000000003,-3.3
WA-4,WA,4,Northwest,Rural,Low,Medium,Low,High,,-16.9,-20.6
WA-5,WA,5,Northwest,Rural,Medium,Very High,Low,Low,,-8.899999999999999,-10.7
WA-6,WA,6,Northwest,Suburban,Medium,High,Low,Low,,17.1,19.2
WA-7,WA,7,Northwest,Urban,Very High,High,Low,Low,,75.1,74.5
WA-8,WA,8,Northwest,Suburban,High,High,Low,Low,,6.700000000000003,5.7
WA-9,WA,9,Northwest,Suburban,High,Low,Medium,Low,,44.7,41.0
WA-10,WA,10,Northwest,Suburban,Medium,High,Low,Low,,17.6,17.9
WV-1,WV,1,Appalachia,Rural,Low,Very High,Low,Low,,-44.5,-44.4
WV-2,WV,2,Appalachia,Rural,Low,Very High,Low,Low,,-42.10000000000001,-39.6
WI-1,WI,1,Midwest,Suburban,Medium,Very High,Low,Low,,-2.0,-4.5
WI-2,WI,2,Midwest,Urban,High,Very High,Low,Low,,41.7,40.0
WI-3,WI,3,Midwest,Mixed,Medium,Very High,Low,Low,,-4.699999999999996,-7.4
WI-4,WI,4,Midwest,Urban,Medium,Medium,High,Medium,,52.89999999999999,51.4
WI-5,WI,5,Midwest,Mixed,High,Very High,Low,Low,,-22.800000000000004,-22.1
WI-6,WI,6,Midwest,Rural,Medium,Very High,Low,Low,,-15.600000000000001,-16.4
WI-7,WI,7,Midwest,Rural,Low,Very High,Low,Low,,-19.9,-22.5
WI-8,WI,8,Midwest,Rural,Medium,Very High,Low,Low,,-15.5,-16.2
WY-AL,WY,AL,Great Plains,Rural,Medium,Very High,,Low,,-43.300000000000004,-46.2
