replay_spec,probability_bucket,bucket_lower,bucket_upper,races,avg_dem_probability,actual_dem_win_rate,calibration_error,brier_score
production_election_day_v1,0–10%,0.0,0.1,134,0.014900683332871496,0.0,0.014900683332871496,0.0008680825806787933
production_election_day_v1,10–20%,0.1,0.2,21,0.13572701431025297,0.0,0.13572701431025297,0.01899746057615446
production_election_day_v1,20–30%,0.2,0.30000000000000004,20,0.2502449479447778,0.05,0.20024494794477782,0.08564731184923177
production_election_day_v1,30–40%,0.30000000000000004,0.4,12,0.33327060675515324,0.08333333333333333,0.24993727342181993,0.1430517684140942
production_election_day_v1,40–50%,0.4,0.5,10,0.4481453121918696,0.5,-0.051854687808130406,0.24479157230260878
production_election_day_v1,50–60%,0.5,0.6000000000000001,6,0.5545964867686131,0.5,0.05459648676861306,0.24217371502150528
production_election_day_v1,60–70%,0.6000000000000001,0.7000000000000001,8,0.6478908223764379,0.75,-0.10210917762356209,0.19188939956269013
production_election_day_v1,70–80%,0.7000000000000001,0.8,10,0.7446169505628443,1.0,-0.25538304943715573,0.06662300303120797
production_election_day_v1,80–90%,0.8,0.9,14,0.8528068694825299,0.7142857142857143,0.13852115519681563,0.21989285394294295
production_election_day_v1,90–100%,0.9,1.0,172,0.9927189610785973,0.9709302325581395,0.021788728520457767,0.028148299194963183
canonical_fixed_6_5,0–10%,0.0,0.1,133,0.023422317939045357,0.0,0.023422317939045357,0.0012112047871745428
canonical_fixed_6_5,10–20%,0.1,0.2,27,0.14539945094776788,0.037037037037037035,0.10836241391073084,0.04906913559916801
canonical_fixed_6_5,20–30%,0.2,0.30000000000000004,14,0.24321322650389926,0.14285714285714285,0.10035608364675641,0.13251990220621232
canonical_fixed_6_5,30–40%,0.30000000000000004,0.4,10,0.33896991599746296,0.2,0.13896991599746294,0.1894840664690713
canonical_fixed_6_5,40–50%,0.4,0.5,11,0.4524478604515099,0.36363636363636365,0.08881149681514627,0.2319120822835852
canonical_fixed_6_5,50–60%,0.5,0.6000000000000001,6,0.5772807622196905,0.5,0.07728076221969049,0.26420133794229256
canonical_fixed_6_5,60–70%,0.6000000000000001,0.7000000000000001,12,0.6649537688489725,0.8333333333333334,-0.16837956448436087,0.16366324009927583
canonical_fixed_6_5,70–80%,0.7000000000000001,0.8,19,0.7530343619642927,0.8421052631578947,-0.08907090119360195,0.14097559142113975
canonical_fixed_6_5,80–90%,0.8,0.9,23,0.8496159882258094,0.9130434782608695,-0.0634274900350601,0.08158538339357377
canonical_fixed_6_5,90–100%,0.9,1.0,145,0.9821359823037153,1.0,-0.01786401769628465,0.0009547576562491041
production_election_day_v1,0–10%,0.0,0.1,154,0.013056203742423587,0.006493506493506494,0.006562697248917093,0.006390326828971185
production_election_day_v1,10–20%,0.1,0.2,15,0.1413425987204646,0.06666666666666667,0.07467593205379792,0.06683871397716291
production_election_day_v1,20–30%,0.2,0.30000000000000004,10,0.2440908526461572,0.3,-0.05590914735384278,0.2099189629944193
production_election_day_v1,30–40%,0.30000000000000004,0.4,7,0.3431511462465898,0.0,0.3431511462465898,0.11855994403386862
production_election_day_v1,40–50%,0.4,0.5,9,0.45198775363624993,0.4444444444444444,0.007543309191805514,0.2464171144159612
production_election_day_v1,50–60%,0.5,0.6000000000000001,2,0.559428694229336,0.5,0.059428694229336054,0.28102780449877396
production_election_day_v1,60–70%,0.6000000000000001,0.7000000000000001,9,0.6549445582195712,0.5555555555555556,0.09938900266401562,0.2596551544379582
production_election_day_v1,70–80%,0.7000000000000001,0.8,17,0.758744685043943,0.8823529411764706,-0.12360825613252757,0.12627935367579435
production_election_day_v1,80–90%,0.8,0.9,16,0.8647750076984417,0.875,-0.010224992301558267,0.11345792760004188
production_election_day_v1,90–100%,0.9,1.0,161,0.9899730418742547,0.9937888198757764,-0.0038157780015216636,0.005638690924350919
