race_id,shrinkage,incumbent_discount,one_sided_multiplier,observation_prior_strength,cap,layer_2_margin_dem,candidate_war_adjustment_dem,war_adjusted_margin_dem,actual_dem_margin,layer_2_absolute_error,war_adjusted_absolute_error,absolute_error_change
NH-1,0.7,1.0,1.0,0.0,4.0,5.763333333333334,-0.034999999999999996,5.7283333333333335,8.117769274943381,2.3544359416100473,2.3894359416100475,0.03500000000000014
NH-2,0.7,1.0,1.0,0.0,4.0,8.663333333333334,0.84,9.503333333333334,11.722651373283396,3.059318039950062,2.2193180399500623,-0.8399999999999999
NJ-1,0.7,1.0,1.0,0.0,4.0,24.263333333333332,-2.5755882352941177,21.687745098039215,27.141287452430724,2.8779541190973923,5.453542354391509,2.5755882352941164
NJ-2,0.7,1.0,1.0,0.0,4.0,-9.036666666666667,0.13999999999999999,-8.896666666666667,-18.899798717883662,9.863132051216995,10.003132051216996,0.14000000000000057
NJ-3,0.7,1.0,1.0,0.0,4.0,13.863333333333333,1.426923076923077,15.29025641025641,11.822342432639584,2.0409909006937497,3.467913977616826,1.4269230769230763
NJ-4,0.7,1.0,1.0,0.0,4.0,-26.536666666666665,-2.4397058823529414,-28.976372549019608,-35.54768653315931,9.011019866492642,6.5713139841396995,-2.4397058823529427
NJ-5,0.7,1.0,1.0,0.0,4.0,12.263333333333334,3.1871875000000003,15.450520833333334,10.410501498441397,1.852831834891937,5.040019334891937,3.1871875000000003
NJ-6,0.7,1.0,1.0,0.0,4.0,19.063333333333333,1.2023529411764704,20.265686274509804,16.439089547315312,2.6242437860180203,3.8265967271944916,1.2023529411764713
NJ-7,0.7,1.0,1.0,0.0,4.0,3.7633333333333328,-4.0,-0.23666666666666725,-2.802707574824327,6.56604090815766,2.56604090815766,-4.0
NJ-8,0.7,1.0,1.0,0.0,4.0,43.16333333333333,0.0,43.16333333333333,50.177040188592414,7.0137068552590875,7.0137068552590875,0.0
NJ-9,0.7,1.0,1.0,0.0,4.0,18.763333333333332,3.7491176470588243,22.512450980392156,11.395882227437593,7.367451105895739,11.116568752954564,3.7491176470588243
NJ-10,0.7,1.0,1.0,0.0,4.0,61.86333333333333,-0.10499999999999993,61.75833333333333,57.60444694580863,4.258886387524697,4.1538863875247,-0.10499999999999687
NJ-11,0.7,1.0,1.0,0.0,4.0,16.763333333333332,0.9557692307692306,17.719102564102563,18.81285079513564,2.0495174618023064,1.093748231033075,-0.9557692307692314
NJ-12,0.7,1.0,1.0,0.0,4.0,34.26333333333333,-1.4844117647058825,32.778921568627446,27.21728119781866,7.0460521355146675,5.561640370808785,-1.4844117647058823
NM-1,0.7,1.0,1.0,0.0,4.0,12.263333333333334,-2.275,9.988333333333333,11.512055039530267,0.7512782938030664,1.523721706196934,0.7724434123938675
NM-2,0.7,1.0,1.0,0.0,4.0,1.7633333333333332,2.0138461538461536,3.777179487179487,0.7006690091502182,1.0626643241831149,3.0765104780292685,2.0138461538461536
NM-3,0.7,1.0,1.0,0.0,4.0,10.663333333333334,0.35,11.013333333333334,16.314963905330572,5.651630571997238,5.301630571997238,-0.34999999999999964
