house_environment_multiplier,mean_cycle_winner_accuracy,mean_cycle_winner_error_rate,mean_cycle_brier_score,mean_cycle_absolute_expected_seat_error,mean_cycle_expected_seat_error_rate,mean_cycle_absolute_deterministic_seat_error,mean_cycle_deterministic_seat_error_rate,mean_cycle_margin_mae,mean_cycle_margin_rmse,mean_cycle_margin_bias_dem,cycles,winner_error_rate_normalized_penalty,brier_score_normalized_penalty,expected_seat_error_rate_normalized_penalty,deterministic_seat_error_rate_normalized_penalty,margin_mae_normalized_penalty,majority_composite_score,composite_rank,winner_accuracy_rank,brier_rank,expected_seat_error_rank,deterministic_seat_error_rank,margin_mae_rank
0.62,0.9408796343676447,0.05912036563235534,0.04565552126148177,9.4163841196698,0.024535962471171895,8.75,0.02245358242184495,6.07787359843182,7.9689580873396215,-0.22466999772983048,4,0.5912119258570425,0.6086957512679779,0.35964454485613573,0.5294373696361424,0.08649078957438035,0.514767165762327,44,31,44,44,41,21
0.61,0.9408796343676447,0.05912036563235534,0.0457185650026799,9.536287262953373,0.02483399503285677,8.75,0.02245358242184495,6.081112114467096,7.971765579550926,-0.25504499772983047,4,0.5912119258570425,0.6378549965566749,0.4134166474822359,0.5294373696361424,0.10880717212827938,0.5339272167374162,45,31,45,45,41,23
0.59,0.9409900214345535,0.05900997856544654,0.045848781941281155,9.775596038122927,0.025428813815287832,9.25,0.0236154599859794,6.088090746015595,7.9781229891011245,-0.3157949977298304,4,0.5819446266894112,0.6980834598625586,0.5207359834366538,0.6184601991267248,0.15689642339107945,0.582962532032827,46,30,47,47,46,27
0.6,0.9396292514378723,0.060370748562127596,0.04578298750043713,9.656024363471076,0.02513161163021854,9.25,0.023703965351617194,6.0845005161325005,7.974820652190827,-0.285419997729831,4,0.6961850265000039,0.6676519498864276,0.46711370033476607,0.6252414627618863,0.13215640584759808,0.6043945265202243,47,51,46,46,47,25
0.58,0.9403757708203029,0.05962422917969715,0.04591594150131403,9.895002861951447,0.0257256030333193,9.5,0.024229710600230017,6.092058934906963,7.9816722474137904,-0.34616999772983054,4,0.6335126623802647,0.7291463702682875,0.5742837575459212,0.6655239598747467,0.1842409294491884,0.6279134163630202,48,46,48,48,48,29
0.57,0.9403757708203029,0.05962422917969715,0.04598445934629382,10.014244809857203,0.026021979202225407,9.5,0.024229710600230017,6.096197942030041,7.985468057372405,-0.3765449977298306,4,0.6335126623802647,0.7608375201024908,0.6277570078520418,0.6655239598747467,0.21276253173423929,0.6479569339970477,49,46,49,49,48,31
0.56,0.9397396385047813,0.06026036149521877,0.0460543286336583,10.133322282820671,0.026317943323832905,9.75,0.024865842915751644,6.100685619719228,7.989510022150329,-0.4069199977298304,4,0.6869177273323702,0.7931537445157044,0.6811559151081866,0.7142642922524688,0.24368679797211232,0.6942648074533688,50,49,50,50,50,33
0.55,0.9397396385047813,0.06026036149521877,0.046125542512771414,10.252235688788502,0.026613496417440527,9.75,0.024865842915751644,6.105625356509393,7.993797717667278,-0.43729499772983066,4,0.6869177273323702,0.8260918749241292,0.7344806632198858,0.7142642922524688,0.27772617116777015,0.7148662583375979,51,49,51,51,50,35
0.54,0.9391035061892596,0.060896493810740415,0.0461980941256716,10.370985442537602,0.026908639519478014,10.0,0.025501975231273274,6.110705728711578,7.998330692405918,-0.46766999772983026,4,0.740322792284478,0.8596487393557387,0.7877314391835065,0.7630046246301911,0.3127346529369398,0.7616588763165789,52,52,52,52,52,37
0.53,0.938489255575009,0.06151074442499102,0.04627197660848438,10.489572532797403,0.027203375076919875,10.25,0.026116225845523887,6.116017877161498,8.003108467230259,-0.4980449977298304,4,0.7918908279753315,0.8938211631036446,0.8409086844909572,0.8100683853782127,0.3493402882650408,0.8077760896854526,53,53,53,53,53,40
