model_id,model_description,alpha,rows,categorical_feature_count,numeric_feature_count,residual_prediction_mean,residual_prediction_sd,residual_prediction_min,residual_prediction_max,mean_absolute_error,rmse,winner_accuracy,brier_score,log_loss,predicted_dem_wins,expected_dem_wins,actual_dem_wins,mean_margin_error_dem_bias,mean_absolute_error_rank_within_model,rmse_rank_within_model,brier_score_rank_within_model,log_loss_rank_within_model,selection_rank_within_model
D_swing_predictability,"Historical swing, trend, and predictability measures.",100.0,400,0,5,-2.9432117242524254,0.6273727324010177,-4.19259378115118,-0.15624684377076647,4.2427150236896916,5.678007198858335,0.955,0.03221716639335544,0.10435539684512492,198.0,196.65414734584232,204.0,-0.0009729882733949236,9.0,9.0,9.0,9.0,36.0
D_swing_predictability,"Historical swing, trend, and predictability measures.",300.0,400,0,5,-2.9439134666706543,0.3725420709116634,-3.769443420150175,-1.312437166953374,4.25323584246886,5.723449751994282,0.955,0.032789977031569384,0.10621496092612386,198.0,196.59805863981427,204.0,-0.0016747306916237291,10.0,10.0,10.0,10.0,40.0
D_swing_predictability,"Historical swing, trend, and predictability measures.",1000.0,400,0,5,-2.943495704326781,0.17931375595185514,-3.3462994094163996,-2.1206676987431603,4.266931528590361,5.752487609883309,0.955,0.033164266620703174,0.10733440166005426,198.0,196.59017256768084,204.0,-0.001256968347751073,11.0,11.0,11.0,11.0,44.0
D_swing_predictability,"Historical swing, trend, and predictability measures.",3000.0,400,0,5,-2.9428656456265743,0.08460617900521691,-3.147947821538073,-2.564062170182648,4.276171412517818,5.764236376343917,0.955,0.0333163180184952,0.10777430755424264,198.0,196.5878829596005,204.0,-0.0006269096475440073,12.0,12.0,12.0,12.0,48.0
D_swing_predictability,"Historical swing, trend, and predictability measures.",10000.0,400,0,5,-2.9424649859846044,0.04857133930049092,-3.034711708763023,-2.8162212538166034,4.281331401800407,5.768812855062566,0.955,0.033374368135511395,0.10794470688365103,198.0,196.58357533216184,204.0,-0.0002262500055742045,13.0,13.0,13.0,13.0,52.0
E_party_behavior,Party switching and historical Democratic win rate.,0.01,400,0,2,-2.9341048075745233,0.23736628947251293,-3.21244245839161,-1.2873361138849317,4.292191359540547,5.793772827522765,0.955,0.033645967525577886,0.10898448084019073,198.0,196.77459599221072,204.0,0.00813392840450703,13.0,13.0,13.0,13.0,52.0
E_party_behavior,Party switching and historical Democratic win rate.,0.03,400,0,2,-2.9341052631704283,0.23735341294563436,-3.2124306921018415,-1.2874323035006412,4.292190788757705,5.7937712347837325,0.955,0.033645951956493614,0.10898442116541646,198.0,196.7745855054481,204.0,0.0081334728086021,12.0,12.0,12.0,12.0,48.0
E_party_behavior,Party switching and historical Democratic win rate.,0.1,400,0,2,-2.9341068573514986,0.23730835647906395,-3.212389519501751,-1.2877688819681912,4.292188791558584,5.793765661868492,0.955,0.03364589747987879,0.10898421236124119,198.0,196.77454881071256,204.0,0.008131878627531926,11.0,11.0,11.0,11.0,44.0
E_party_behavior,Party switching and historical Democratic win rate.,0.3,400,0,2,-2.9341114086894504,0.23717972116027078,-3.212271964134475,-1.2887298051529856,4.292183089906997,5.793749753566113,0.955,0.03364574196240807,0.10898361627060289,198.0,196.77444404512556,204.0,0.00812732728957986,10.0,10.0,10.0,10.0,40.0
E_party_behavior,Party switching and historical Democratic win rate.,1.0,400,0,2,-2.9341272980570388,0.23673063131764327,-3.211861458759554,-1.2920845478210377,4.292163188005041,5.793694240963684,0.955,0.033645199163446736,0.10898153568486366,198.0,196.77407825589455,204.0,0.008111437921991769,9.0,9.0,9.0,9.0,36.0
E_party_behavior,Party switching and historical Democratic win rate.,3.0,400,0,2,-2.9341723535114523,0.23545715777006765,-3.210696571085395,-1.30159736015266,4.292106783258296,5.793537046982584,0.955,0.033643661157017564,0.10897563985202843,198.0,196.77304071551174,204.0,0.008066382467577888,8.0,8.0,8.0,8.0,32.0
E_party_behavior,Party switching and historical Democratic win rate.,10.0,400,0,2,-2.9343261560239218,0.23110951751911257,-3.206710386066913,-1.334072715074487,4.291914556924748,5.793002854845315,0.955,0.03363842371137757,0.10895555631491881,198.0,196.76949539468183,204.0,0.007912579955108434,7.0,7.0,7.0,7.0,28.0
E_party_behavior,Party switching and historical Democratic win rate.,30.0,400,0,2,-2.9347347641730477,0.21955653943701134,-3.196047354548074,-1.4203659802323854,4.291406271896557,5.7916018360724415,0.955,0.0336246059624728,0.10890252272374376,198.0,196.760049933067,204.0,0.007503971805982524,6.0,6.0,6.0,6.0,24.0
E_party_behavior,Party switching and historical Democratic win rate.,100.0,400,0,2,-2.935882245303925,0.18712080851641452,-3.165534733404745,-1.6628126251262896,4.2900869045599,5.787810111097655,0.955,0.03358657290005824,0.10875614189902866,198.0,196.7333192425453,204.0,0.006356490675105562,5.0,5.0,5.0,5.0,20.0
E_party_behavior,Party switching and historical Democratic win rate.,300.0,400,0,2,-2.937812235135699,0.13293523281246372,-3.1123178503349287,-2.070891233885888,4.28804485611348,5.781917566803245,0.955,0.03352530531790386,0.10851873591777758,198.0,196.68768719316296,204.0,0.004426500843331738,4.0,4.0,4.0,4.0,16.0
E_party_behavior,Party switching and historical Democratic win rate.,1000.0,400,0,2,-2.9400905712438843,0.07234315177047111,-3.046426972643499,-2.5529154215286907,4.2857586512908945,5.7757691967959355,0.955,0.03345767967380608,0.10825343085935614,198.0,196.63276465769826,204.0,0.002148164735145812,3.0,3.0,3.0,3.0,12.0
E_party_behavior,Party switching and historical Democratic win rate.,3000.0,400,0,2,-2.941368818705965,0.046582544185699765,-3.0197611476635378,-2.823393319804846,4.284532617515264,5.772714540379395,0.955,0.03342212967873359,0.10811202286268676,198.0,196.60146968446386,204.0,0.0008699172730655214,2.0,2.0,2.0,2.0,8.0
E_party_behavior,Party switching and historical Democratic win rate.,10000.0,400,0,2,-2.9419565048458183,0.041531481260056,-3.011508008665629,-2.8584839576184318,4.283983980998572,5.7714074743268045,0.955,0.03340639091129984,0.10804886501415036,198.0,196.58696951675168,204.0,0.00028223113321123705,1.0,1.0,1.0,1.0,4.0
F_demographics,Continuous DRA voting-age demographic shares.,0.01,400,2,6,-3.2436769985512073,4.632563303229204,-61.52936226300975,7.386721529642675,4.041335157106767,6.706043641089753,0.9525,0.034580319953613846,0.12981910200249047,199.0,195.55380452144868,204.0,-0.3014382625721773,10.0,10.0,10.0,10.0,40.0
F_demographics,Continuous DRA voting-age demographic shares.,0.03,400,2,6,-3.24511447974014,4.6368326702958855,-61.8254979253999,7.3459495396730325,4.038037820922429,6.712984170348546,0.9525,0.034587265118491826,0.13011598838217903,199.0,195.55943814404452,204.0,-0.30287574376110976,9.0,11.0,11.0,11.0,42.0
