race_id,candidate,party,party_code,candidatevotes,candidate_norm,candidate_id,candidate_name,incumbent_challenger_status,candidate_status,fec_key_count,match_status
FL-8,JOANNE TERRY,DEMOCRAT,D,120080,JOANNE TERRY,,,,,,No exact FEC match
FL-9,SCOTTY MOORE,REPUBLICAN,R,93827,SCOTTY MOORE,,,,,,No exact FEC match
FL-9,DARREN SOTO,DEMOCRAT,D,108541,DARREN SOTO,,,,,,No exact FEC match
FL-10,CALVIN B WIMBISH,REPUBLICAN,R,78844,CALVIN B WIMBISH,,,,,,No exact FEC match
FL-10,MAXWELL ALEJANDRO FROST,DEMOCRAT,D,117955,MAXWELL ALEJANDRO FROST,,,,,,No exact FEC match
FL-11,DANIEL WEBSTER,REPUBLICAN,R,205995,DANIEL WEBSTER,,,,,,No exact FEC match
FL-11,SHANTE MUNNS,DEMOCRAT,D,115647,SHANTE MUNNS,,,,,,No exact FEC match
FL-12,GUS M BILIRAKIS,REPUBLICAN,R,226601,GUS M BILIRAKIS,,,,,,No exact FEC match
FL-12,KIMBERLY WALKER,DEMOCRAT,D,95390,KIMBERLY WALKER,,,,,,No exact FEC match
FL-13,ANNA PAULINA LUNA,REPUBLICAN,R,181487,ANNA PAULINA LUNA,,,,,,No exact FEC match
FL-13,ERIC LYNN,DEMOCRAT,D,153876,ERIC LYNN,,,,,,No exact FEC match
FL-14,JAMES JUDGE,REPUBLICAN,R,113427,JAMES JUDGE,,,,,,No exact FEC match
FL-14,KATHY CASTOR,DEMOCRAT,D,149737,KATHY CASTOR,,,,,,No exact FEC match
FL-15,LAUREL LEE,REPUBLICAN,R,145219,LAUREL LEE,,,,,,No exact FEC match
FL-15,ALAN M COHN,DEMOCRAT,D,102835,ALAN M COHN,,,,,,No exact FEC match
FL-16,VERN BUCHANAN,REPUBLICAN,R,189762,VERN BUCHANAN,,,,,,No exact FEC match
FL-16,JAN SCHNEIDER,DEMOCRAT,D,115575,JAN SCHNEIDER,,,,,,No exact FEC match
FL-17,W GREGORY STEUBE,REPUBLICAN,R,222483,W GREGORY STEUBE,,,,,,No exact FEC match
FL-17,ANDREA DORIA KALE,DEMOCRAT,D,123798,ANDREA DORIA KALE,,,,,,No exact FEC match
FL-18,C SCOTT FRANKLIN,REPUBLICAN,R,167429,C SCOTT FRANKLIN,,,,,,No exact FEC match
FL-19,BYRON DONALDS,REPUBLICAN,R,213035,BYRON DONALDS,,,,,,No exact FEC match
FL-19,CINDY BANYAI,DEMOCRAT,D,100226,CINDY BANYAI,,,,,,No exact FEC match
FL-20,DREW MONTEZ CLARK,REPUBLICAN,R,52151,DREW MONTEZ CLARK,,,,,,No exact FEC match
FL-20,SHEILA CHERFILUS-MCCORMICK,DEMOCRAT,D,136215,SHEILA CHERFILUS MCCORMICK,,,,,,No exact FEC match
FL-21,BRIAN J MAST,REPUBLICAN,R,208614,BRIAN J MAST,,,,,,No exact FEC match
FL-21,CORINNA BALDERRAMOS ROBINSON,DEMOCRAT,D,119891,CORINNA BALDERRAMOS ROBINSON,,,,,,No exact FEC match
FL-22,DAN FRANZESE,REPUBLICAN,R,122194,DAN FRANZESE,,,,,,No exact FEC match
FL-22,LOIS FRANKEL,DEMOCRAT,D,150010,LOIS FRANKEL,,,,,,No exact FEC match
FL-23,JOE BUDD,REPUBLICAN,R,130681,JOE BUDD,,,,,,No exact FEC match
FL-23,JARED MOSKOWITZ,DEMOCRAT,D,143951,JARED MOSKOWITZ,,,,,,No exact FEC match
FL-24,JESUS G NAVARRO,REPUBLICAN,R,52449,JESUS G NAVARRO,,,,,,No exact FEC match
FL-24,FREDERICA S WILSON,DEMOCRAT,D,133442,FREDERICA S WILSON,,,,,,No exact FEC match
FL-25,CARLA SPALDING,REPUBLICAN,R,105239,CARLA SPALDING,,,,,,No exact FEC match
FL-25,DEBBIE WASSERMAN SCHULTZ,DEMOCRAT,D,129113,DEBBIE WASSERMAN SCHULTZ,,,,,,No exact FEC match
FL-26,MARIO DIAZ-BALART,REPUBLICAN,R,143240,MARIO DIAZ BALART,,,,,,No exact FEC match
FL-26,CHRISTINE ALEXANDRIA OLIVO,DEMOCRAT,D,58868,CHRISTINE ALEXANDRIA OLIVO,,,,,,No exact FEC match
FL-27,MARIA ELVIRA SALAZAR,REPUBLICAN,R,136038,MARIA ELVIRA SALAZAR,,,,,,No exact FEC match
FL-27,ANNETTE TADDEO,DEMOCRAT,D,101404,ANNETTE TADDEO,,,,,,No exact FEC match
FL-28,CARLOS A GIMENEZ,REPUBLICAN,R,134457,CARLOS A GIMENEZ,,,,,,No exact FEC match
FL-28,ROBERT ASENCIO,DEMOCRAT,D,76665,ROBERT ASENCIO,,,,,,No exact FEC match
GA-1,EARL L âBUDDYâ CARTER,REPUBLICAN,R,156128,EARL L ABUDDYA CARTER,,,,,,No exact FEC match
GA-1,WADE HERRING,DEMOCRAT,D,107837,WADE HERRING,,,,,,No exact FEC match
GA-2,CHRIS WEST,REPUBLICAN,R,108665,CHRIS WEST,,,,,,No exact FEC match
GA-2,"SANFORD D BISHOP, JR",DEMOCRAT,D,132675,SANFORD D BISHOP,,,,,,No exact FEC match
GA-3,A DREW FERGUSON IV,REPUBLICAN,R,213524,A DREW FERGUSON,,,,,,No exact FEC match
GA-3,VAL ALMONORD,DEMOCRAT,D,97057,VAL ALMONORD,,,,,,No exact FEC match
GA-4,JONATHAN CHAVEZ,REPUBLICAN,R,59302,JONATHAN CHAVEZ,,,,,,No exact FEC match
GA-4,"HENRY C âHANKâ JOHNSON, JR",DEMOCRAT,D,216332,HENRY C AHANKA JOHNSON,,,,,,No exact FEC match
GA-5,CHRISTIAN ZIMM,REPUBLICAN,R,51769,CHRISTIAN ZIMM,,,,,,No exact FEC match
GA-5,NIKEMA WILLIAMS,DEMOCRAT,D,243687,NIKEMA WILLIAMS,,,,,,No exact FEC match
GA-6,RICH MCCORMICK,REPUBLICAN,R,206886,RICH MCCORMICK,,,,,,No exact FEC match
GA-6,BOB CHRISTIAN,DEMOCRAT,D,125612,BOB CHRISTIAN,,,,,,No exact FEC match
GA-7,MARK GONSALVES,REPUBLICAN,R,91962,MARK GONSALVES,,,,,,No exact FEC match
GA-7,LUCY MCBATH,DEMOCRAT,D,143063,LUCY MCBATH,,,,,,No exact FEC match
GA-8,AUSTIN SCOTT,REPUBLICAN,R,178700,AUSTIN SCOTT,,,,,,No exact FEC match
