race_id,party_code,mit_candidate_name,fec_candidate_name,fec_candidate_id,incumbent_challenger_status,match_method,match_score,second_best_score,candidate_count_considered,match_reason
OH-10,R,MICHAEL R TURNER,"TURNER, MICHAEL R REP.",H2OH03067,I,high_confidence_automatic,96.25,,1,last_exact+first_match+token_overlap+scope_same_race
AL-5,R,DALE STRONG,"STRONG, DALE WHITNEY",H2AL05102,C,high_confidence_automatic,95.0,2.0,9,last_exact+first_match+token_overlap+scope_same_race
AL-6,R,GARY J PALMER,"PALMER, GARY",H4AL06098,I,high_confidence_automatic,95.0,0.0,2,last_exact+first_match+token_overlap+scope_same_race
AL-7,R,BEATRICE NICHOLS,"NICHOLS, BEATRICE JACKSON",H2AL07173,C,high_confidence_automatic,95.0,,1,last_exact+first_match+token_overlap+scope_same_race
AZ-1,D,JEVIN HODGE,"HODGE, JEVIN D",H2AZ06221,C,high_confidence_automatic,95.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
AZ-5,D,JAVIER RAMOS,"RAMOS, JAVIER GARCIA MR.",H0AZ05185,C,high_confidence_automatic,95.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
AR-3,D,LAUREN MALLETT-HAYS,"HAYS, LAUREN",H2AR03283,C,high_confidence_automatic,95.0,,1,last_exact+first_match+token_overlap+scope_same_race
CA-7,D,DORIS O MATSUI,"MATSUI, DORIS",H6CA05195,I,high_confidence_automatic,95.0,2.0,2,last_exact+first_match+token_overlap+scope_same_race
CA-12,R,STEPHEN SLAUSON,"SLAUSON, STEPHEN SCOTT",H2CA12240,C,high_confidence_automatic,95.0,0.0,5,last_exact+first_match+token_overlap+scope_same_race
CA-13,D,ADAM GRAY,"GRAY, ADAM C.",H2CA13115,C,high_confidence_automatic,95.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
CA-14,D,ERIC SWALWELL,"SWALWELL, ERIC MICHAEL",H2CA15094,I,high_confidence_automatic,95.0,2.0,4,last_exact+first_match+token_overlap+scope_same_race
CA-15,D,DAVID J CANEPA,"CANEPA, DAVID",H2CA14170,O,high_confidence_automatic,95.0,2.0,3,last_exact+first_match+token_overlap+scope_same_race
CA-21,R,MICHAEL MAHER,"MAHER, MICHAEL A",H2CA22215,O,high_confidence_automatic,95.0,2.0,5,last_exact+first_match+token_overlap+scope_same_race
CA-22,R,DAVID G VALADAO,"VALADAO, DAVID",H2CA20094,I,high_confidence_automatic,95.0,2.0,6,last_exact+first_match+token_overlap+scope_same_race
